epoch=1, lr=1.000000e-04, train_nmse=0.154294, val_nmse=0.175679
epoch=2, lr=1.000000e-04, train_nmse=0.153823, val_nmse=0.175677
epoch=3, lr=1.000000e-04, train_nmse=0.153357, val_nmse=0.175983
epoch=4, lr=1.000000e-04, train_nmse=0.152931, val_nmse=0.175473
epoch=5, lr=1.000000e-04, train_nmse=0.152539, val_nmse=0.175754
epoch=6, lr=1.000000e-04, train_nmse=0.152185, val_nmse=0.175343
epoch=7, lr=1.000000e-04, train_nmse=0.151773, val_nmse=0.175554
epoch=8, lr=1.000000e-04, train_nmse=0.151463, val_nmse=0.175023
epoch=9, lr=1.000000e-04, train_nmse=0.151070, val_nmse=0.175618
epoch=10, lr=1.000000e-04, train_nmse=0.150739, val_nmse=0.175393
epoch=11, lr=1.000000e-04, train_nmse=0.150385, val_nmse=0.175075
epoch=12, lr=1.000000e-04, train_nmse=0.150179, val_nmse=0.174960
epoch=13, lr=1.000000e-04, train_nmse=0.149744, val_nmse=0.174779
epoch=14, lr=1.000000e-04, train_nmse=0.149509, val_nmse=0.175055
epoch=15, lr=1.000000e-04, train_nmse=0.149297, val_nmse=0.175373
epoch=16, lr=1.000000e-04, train_nmse=0.148893, val_nmse=0.174846
epoch=17, lr=1.000000e-04, train_nmse=0.148729, val_nmse=0.174838
epoch=18, lr=1.000000e-04, train_nmse=0.148407, val_nmse=0.175300
epoch=19, lr=1.000000e-04, train_nmse=0.148145, val_nmse=0.174912
epoch=20, lr=1.000000e-04, train_nmse=0.147885, val_nmse=0.174807
epoch=21, lr=1.000000e-04, train_nmse=0.147695, val_nmse=0.175003
epoch=22, lr=1.000000e-04, train_nmse=0.147303, val_nmse=0.174981
epoch=23, lr=1.000000e-04, train_nmse=0.147114, val_nmse=0.175173
epoch=24, lr=1.000000e-04, train_nmse=0.146813, val_nmse=0.175290
epoch=25, lr=1.000000e-04, train_nmse=0.146664, val_nmse=0.174799
epoch=26, lr=1.000000e-04, train_nmse=0.146424, val_nmse=0.175279
epoch=27, lr=1.000000e-04, train_nmse=0.146078, val_nmse=0.174978
epoch=28, lr=1.000000e-04, train_nmse=0.145972, val_nmse=0.175814
epoch=29, lr=1.000000e-04, train_nmse=0.145709, val_nmse=0.175315
epoch=30, lr=1.000000e-04, train_nmse=0.145410, val_nmse=0.175045
epoch=31, lr=1.000000e-04, train_nmse=0.145240, val_nmse=0.175100
epoch=32, lr=1.000000e-04, train_nmse=0.145032, val_nmse=0.174865
epoch=33, lr=1.000000e-04, train_nmse=0.144855, val_nmse=0.175353
epoch=34, lr=1.000000e-04, train_nmse=0.144616, val_nmse=0.175218
epoch=35, lr=1.000000e-04, train_nmse=0.144399, val_nmse=0.175284
epoch=36, lr=1.000000e-04, train_nmse=0.144135, val_nmse=0.175337
epoch=37, lr=1.000000e-04, train_nmse=0.143982, val_nmse=0.175625
epoch=38, lr=1.000000e-04, train_nmse=0.143659, val_nmse=0.175394
epoch=39, lr=1.000000e-04, train_nmse=0.143557, val_nmse=0.175203
epoch=40, lr=1.000000e-04, train_nmse=0.143358, val_nmse=0.177266
epoch=41, lr=1.000000e-04, train_nmse=0.143192, val_nmse=0.175480
epoch=42, lr=1.000000e-04, train_nmse=0.142936, val_nmse=0.175841
epoch=43, lr=1.000000e-04, train_nmse=0.142654, val_nmse=0.175889
epoch=44, lr=1.000000e-04, train_nmse=0.142456, val_nmse=0.175657
epoch=45, lr=1.000000e-04, train_nmse=0.142432, val_nmse=0.175699
epoch=46, lr=1.000000e-04, train_nmse=0.142107, val_nmse=0.175974
epoch=47, lr=1.000000e-04, train_nmse=0.142004, val_nmse=0.175964
epoch=48, lr=1.000000e-04, train_nmse=0.141901, val_nmse=0.175746
epoch=49, lr=1.000000e-04, train_nmse=0.141669, val_nmse=0.175689
epoch=50, lr=1.000000e-04, train_nmse=0.141403, val_nmse=0.176578
epoch=51, lr=1.000000e-04, train_nmse=0.141356, val_nmse=0.175676
epoch=52, lr=1.000000e-04, train_nmse=0.141140, val_nmse=0.175804
epoch=53, lr=1.000000e-04, train_nmse=0.140918, val_nmse=0.176134
epoch=54, lr=1.000000e-04, train_nmse=0.140753, val_nmse=0.176070
epoch=55, lr=1.000000e-04, train_nmse=0.140662, val_nmse=0.175720
epoch=56, lr=1.000000e-04, train_nmse=0.140419, val_nmse=0.176082
epoch=57, lr=1.000000e-04, train_nmse=0.140222, val_nmse=0.176558
epoch=58, lr=1.000000e-04, train_nmse=0.139999, val_nmse=0.176125
epoch=59, lr=1.000000e-04, train_nmse=0.139941, val_nmse=0.176263
epoch=60, lr=1.000000e-04, train_nmse=0.139656, val_nmse=0.176486
epoch=61, lr=1.000000e-04, train_nmse=0.139486, val_nmse=0.176338
epoch=62, lr=1.000000e-04, train_nmse=0.139406, val_nmse=0.176722
epoch=63, lr=1.000000e-04, train_nmse=0.139230, val_nmse=0.177161
epoch=64, lr=1.000000e-04, train_nmse=0.139149, val_nmse=0.176828
epoch=65, lr=1.000000e-04, train_nmse=0.138836, val_nmse=0.176732
epoch=66, lr=1.000000e-04, train_nmse=0.138744, val_nmse=0.176348
epoch=67, lr=1.000000e-04, train_nmse=0.138580, val_nmse=0.176603
epoch=68, lr=1.000000e-04, train_nmse=0.138446, val_nmse=0.176665
epoch=69, lr=1.000000e-04, train_nmse=0.138323, val_nmse=0.176781
epoch=70, lr=1.000000e-04, train_nmse=0.138125, val_nmse=0.176642
epoch=71, lr=1.000000e-04, train_nmse=0.137936, val_nmse=0.176901
