epoch=1, lr=1.000000e-03, train_total=0.7434978, train_mask=0.4511446, val_total=0.8689046, val_nmse=0.7284461, val_mask=0.4681950, val_clean=0.6815583, gate=0.000000, lambda_mask=0.300000
epoch=2, lr=1.000000e-03, train_total=0.7251010, train_mask=0.4743488, val_total=0.8720082, val_nmse=0.7267927, val_mask=0.4840517, val_clean=0.6869887, gate=0.003750, lambda_mask=0.300000
epoch=3, lr=1.000000e-03, train_total=0.7175570, train_mask=0.4866055, val_total=0.9047764, val_nmse=0.7568656, val_mask=0.4930360, val_clean=0.6889245, gate=0.007500, lambda_mask=0.300000
epoch=4, lr=1.000000e-03, train_total=0.7097414, train_mask=0.4946679, val_total=0.8823662, val_nmse=0.7329856, val_mask=0.4979356, val_clean=0.6989257, gate=0.011250, lambda_mask=0.300000
epoch=5, lr=1.000000e-03, train_total=0.7047538, train_mask=0.4992695, val_total=0.9178629, val_nmse=0.7663799, val_mask=0.5049433, val_clean=0.7063879, gate=0.015000, lambda_mask=0.300000
epoch=6, lr=1.000000e-03, train_total=0.6980986, train_mask=0.5012649, val_total=0.9015108, val_nmse=0.7496428, val_mask=0.5062266, val_clean=0.6868167, gate=0.018750, lambda_mask=0.300000
epoch=7, lr=1.000000e-03, train_total=0.6935472, train_mask=0.5023310, val_total=0.9073853, val_nmse=0.7562258, val_mask=0.5038647, val_clean=0.6861246, gate=0.022500, lambda_mask=0.300000
epoch=8, lr=1.000000e-03, train_total=0.6881623, train_mask=0.5027690, val_total=0.8948067, val_nmse=0.7428773, val_mask=0.5064314, val_clean=0.6739874, gate=0.026250, lambda_mask=0.300000
epoch=9, lr=1.000000e-03, train_total=0.6852942, train_mask=0.5026852, val_total=0.9269197, val_nmse=0.7743481, val_mask=0.5085720, val_clean=0.6967358, gate=0.030000, lambda_mask=0.300000
epoch=10, lr=1.000000e-03, train_total=0.6805745, train_mask=0.5028326, val_total=0.8858552, val_nmse=0.7329362, val_mask=0.5097299, val_clean=0.6698873, gate=0.033750, lambda_mask=0.300000
epoch=11, lr=1.000000e-03, train_total=0.6775020, train_mask=0.5025430, val_total=0.9109667, val_nmse=0.7575865, val_mask=0.5112673, val_clean=0.6777783, gate=0.037500, lambda_mask=0.300000
epoch=12, lr=1.000000e-03, train_total=0.6780995, train_mask=0.5014163, val_total=0.9081888, val_nmse=0.7519168, val_mask=0.5117218, val_clean=0.6777059, gate=0.041250, lambda_mask=0.305385
epoch=13, lr=1.000000e-03, train_total=0.6758291, train_mask=0.5011138, val_total=0.9151788, val_nmse=0.7569329, val_mask=0.5092070, val_clean=0.6835034, gate=0.045000, lambda_mask=0.310769
epoch=14, lr=1.000000e-03, train_total=0.6762098, train_mask=0.4994813, val_total=0.9046848, val_nmse=0.7438179, val_mask=0.5088248, val_clean=0.6840864, gate=0.048750, lambda_mask=0.316154
epoch=15, lr=1.000000e-03, train_total=0.6761601, train_mask=0.4984160, val_total=0.9402401, val_nmse=0.7773623, val_mask=0.5065577, val_clean=0.6880235, gate=0.052500, lambda_mask=0.321538
epoch=16, lr=1.000000e-03, train_total=0.6759470, train_mask=0.4970174, val_total=0.9440769, val_nmse=0.7783721, val_mask=0.5068619, val_clean=0.6866657, gate=0.056250, lambda_mask=0.326923
epoch=17, lr=1.000000e-03, train_total=0.6766733, train_mask=0.4958728, val_total=0.9233199, val_nmse=0.7549673, val_mask=0.5066168, val_clean=0.6630384, gate=0.060000, lambda_mask=0.332308
epoch=18, lr=1.000000e-03, train_total=0.6758517, train_mask=0.4940590, val_total=0.9436302, val_nmse=0.7729321, val_mask=0.5054842, val_clean=0.6825301, gate=0.063750, lambda_mask=0.337692
epoch=19, lr=1.000000e-03, train_total=0.6776835, train_mask=0.4934387, val_total=0.9471856, val_nmse=0.7736815, val_mask=0.5057294, val_clean=0.6820576, gate=0.067500, lambda_mask=0.343077
epoch=20, lr=1.000000e-03, train_total=0.6781079, train_mask=0.4918689, val_total=0.9629766, val_nmse=0.7876301, val_mask=0.5032017, val_clean=0.6911098, gate=0.071250, lambda_mask=0.348462
epoch=21, lr=1.000000e-03, train_total=0.6778236, train_mask=0.4903973, val_total=0.9336310, val_nmse=0.7561298, val_mask=0.5016341, val_clean=0.6652487, gate=0.075000, lambda_mask=0.353846
epoch=22, lr=1.000000e-03, train_total=0.6797754, train_mask=0.4893362, val_total=0.9476175, val_nmse=0.7674504, val_mask=0.5015358, val_clean=0.6909084, gate=0.078750, lambda_mask=0.359231
epoch=23, lr=1.000000e-03, train_total=0.6791058, train_mask=0.4880143, val_total=0.9610049, val_nmse=0.7789318, val_mask=0.4993565, val_clean=0.6904409, gate=0.082500, lambda_mask=0.364615
epoch=24, lr=1.000000e-03, train_total=0.6805598, train_mask=0.4870764, val_total=0.9762691, val_nmse=0.7928386, val_mask=0.4957580, val_clean=0.6825898, gate=0.086250, lambda_mask=0.370000
epoch=25, lr=1.000000e-03, train_total=0.6824292, train_mask=0.4859385, val_total=0.9556483, val_nmse=0.7688290, val_mask=0.4976744, val_clean=0.6819849, gate=0.090000, lambda_mask=0.375385
epoch=26, lr=1.000000e-03, train_total=0.6829095, train_mask=0.4847253, val_total=0.9503305, val_nmse=0.7607281, val_mask=0.4979458, val_clean=0.6721236, gate=0.093750, lambda_mask=0.380769
epoch=27, lr=1.000000e-03, train_total=0.6838547, train_mask=0.4832052, val_total=0.9437268, val_nmse=0.7523818, val_mask=0.4955149, val_clean=0.6715085, gate=0.097500, lambda_mask=0.386154
epoch=28, lr=1.000000e-03, train_total=0.6851236, train_mask=0.4819194, val_total=0.9791859, val_nmse=0.7860639, val_mask=0.4932389, val_clean=0.6827068, gate=0.101250, lambda_mask=0.391538
epoch=29, lr=1.000000e-03, train_total=0.6871885, train_mask=0.4810002, val_total=0.9826927, val_nmse=0.7867243, val_mask=0.4937188, val_clean=0.6897464, gate=0.105000, lambda_mask=0.396923
epoch=30, lr=1.000000e-03, train_total=0.6891644, train_mask=0.4801336, val_total=1.0055033, val_nmse=0.8077995, val_mask=0.4914244, val_clean=0.7097531, gate=0.108750, lambda_mask=0.402308
epoch=31, lr=1.000000e-03, train_total=0.6879242, train_mask=0.4788101, val_total=0.9798993, val_nmse=0.7797957, val_mask=0.4908203, val_clean=0.6972219, gate=0.112500, lambda_mask=0.407692
epoch=32, lr=1.000000e-03, train_total=0.6892399, train_mask=0.4775824, val_total=0.9985768, val_nmse=0.7947887, val_mask=0.4933416, val_clean=0.6844991, gate=0.116250, lambda_mask=0.413077
epoch=33, lr=1.000000e-03, train_total=0.6906685, train_mask=0.4766196, val_total=0.9816632, val_nmse=0.7770316, val_mask=0.4890093, val_clean=0.6899466, gate=0.120000, lambda_mask=0.418462
epoch=34, lr=1.000000e-03, train_total=0.6927724, train_mask=0.4762558, val_total=1.0043866, val_nmse=0.7963199, val_mask=0.4909015, val_clean=0.6965810, gate=0.123750, lambda_mask=0.423846
epoch=35, lr=1.000000e-03, train_total=0.6931383, train_mask=0.4744245, val_total=0.9746813, val_nmse=0.7651695, val_mask=0.4881100, val_clean=0.6777574, gate=0.127500, lambda_mask=0.429231
epoch=36, lr=1.000000e-03, train_total=0.6954354, train_mask=0.4734560, val_total=1.0029785, val_nmse=0.7906829, val_mask=0.4884677, val_clean=0.6905187, gate=0.131250, lambda_mask=0.434615
epoch=37, lr=1.000000e-03, train_total=0.6975972, train_mask=0.4727980, val_total=0.9943717, val_nmse=0.7789955, val_mask=0.4894913, val_clean=0.6907803, gate=0.135000, lambda_mask=0.440000
epoch=38, lr=1.000000e-03, train_total=0.6990983, train_mask=0.4715258, val_total=1.0035676, val_nmse=0.7872909, val_mask=0.4855954, val_clean=0.6760435, gate=0.138750, lambda_mask=0.445385
epoch=39, lr=1.000000e-03, train_total=0.7000577, train_mask=0.4706101, val_total=1.0329744, val_nmse=0.8135063, val_mask=0.4868746, val_clean=0.6947117, gate=0.142500, lambda_mask=0.450769
epoch=40, lr=1.000000e-03, train_total=0.7017112, train_mask=0.4695545, val_total=0.9606980, val_nmse=0.7388945, val_mask=0.4862473, val_clean=0.6652711, gate=0.146250, lambda_mask=0.456154
