epoch=1, lr=1.000000e-03, train_total=1.4678692, train_mask=0.5841700, val_total=1.3598922, val_nmse=0.8064206, val_mask=0.5534716, val_clean=0.7265130, gate=0.000000, lambda_mask=1.000000
epoch=2, lr=1.000000e-03, train_total=1.2847602, train_mask=0.5159484, val_total=1.2899146, val_nmse=0.7940198, val_mask=0.4958949, val_clean=0.7359848, gate=0.006667, lambda_mask=1.000000
epoch=3, lr=1.000000e-03, train_total=1.2083726, train_mask=0.4687843, val_total=1.2415282, val_nmse=0.7726587, val_mask=0.4688695, val_clean=0.6998731, gate=0.013333, lambda_mask=1.000000
epoch=4, lr=1.000000e-03, train_total=1.1654991, train_mask=0.4461433, val_total=1.2113060, val_nmse=0.7516886, val_mask=0.4596174, val_clean=0.6681445, gate=0.020000, lambda_mask=1.000000
epoch=5, lr=1.000000e-03, train_total=1.1419318, train_mask=0.4366812, val_total=1.2024404, val_nmse=0.7466859, val_mask=0.4557544, val_clean=0.6732991, gate=0.026667, lambda_mask=1.000000
epoch=6, lr=1.000000e-03, train_total=1.1204146, train_mask=0.4317611, val_total=1.2168005, val_nmse=0.7666464, val_mask=0.4501541, val_clean=0.7253845, gate=0.033333, lambda_mask=1.000000
epoch=7, lr=1.000000e-03, train_total=1.1087938, train_mask=0.4285569, val_total=1.1858452, val_nmse=0.7383847, val_mask=0.4474605, val_clean=0.6748211, gate=0.040000, lambda_mask=1.000000
epoch=8, lr=1.000000e-03, train_total=1.1015775, train_mask=0.4258071, val_total=1.2066053, val_nmse=0.7606566, val_mask=0.4459488, val_clean=0.6794478, gate=0.046667, lambda_mask=1.000000
epoch=9, lr=1.000000e-03, train_total=1.0828621, train_mask=0.4240090, val_total=1.1791630, val_nmse=0.7356332, val_mask=0.4435299, val_clean=0.6687636, gate=0.053333, lambda_mask=1.000000
epoch=10, lr=1.000000e-03, train_total=1.0696160, train_mask=0.4225804, val_total=1.1757252, val_nmse=0.7331995, val_mask=0.4425256, val_clean=0.6585148, gate=0.060000, lambda_mask=1.000000
epoch=11, lr=1.000000e-03, train_total=1.0626913, train_mask=0.4216348, val_total=1.1981409, val_nmse=0.7561094, val_mask=0.4420315, val_clean=0.6850877, gate=0.066667, lambda_mask=1.000000
epoch=12, lr=1.000000e-03, train_total=1.0550400, train_mask=0.4198566, val_total=1.1627629, val_nmse=0.7219262, val_mask=0.4401031, val_clean=0.6664204, gate=0.073333, lambda_mask=1.001667
epoch=13, lr=1.000000e-03, train_total=1.0472164, train_mask=0.4202673, val_total=1.1863572, val_nmse=0.7466026, val_mask=0.4382937, val_clean=0.6720404, gate=0.080000, lambda_mask=1.003333
epoch=14, lr=1.000000e-03, train_total=1.0442738, train_mask=0.4186930, val_total=1.1667853, val_nmse=0.7279352, val_mask=0.4366667, val_clean=0.6807479, gate=0.086667, lambda_mask=1.005000
epoch=15, lr=1.000000e-03, train_total=1.0359706, train_mask=0.4182134, val_total=1.1746551, val_nmse=0.7338961, val_mask=0.4378401, val_clean=0.6527365, gate=0.093333, lambda_mask=1.006667
epoch=16, lr=1.000000e-03, train_total=1.0295679, train_mask=0.4172855, val_total=1.1752442, val_nmse=0.7317366, val_mask=0.4398423, val_clean=0.6602262, gate=0.100000, lambda_mask=1.008333
epoch=17, lr=1.000000e-03, train_total=1.0247367, train_mask=0.4166045, val_total=1.1716556, val_nmse=0.7277922, val_mask=0.4394687, val_clean=0.6405511, gate=0.106667, lambda_mask=1.010000
epoch=18, lr=1.000000e-03, train_total=1.0538188, train_mask=0.4158653, val_total=1.1628049, val_nmse=0.7223899, val_mask=0.4353361, val_clean=0.6579392, gate=0.113333, lambda_mask=1.011667
epoch=19, lr=1.000000e-03, train_total=1.0275724, train_mask=0.4162890, val_total=1.1641527, val_nmse=0.7222821, val_mask=0.4360565, val_clean=0.6527346, gate=0.120000, lambda_mask=1.013333
epoch=20, lr=1.000000e-03, train_total=1.0147852, train_mask=0.4152889, val_total=1.1775785, val_nmse=0.7340458, val_mask=0.4369780, val_clean=0.6516521, gate=0.126667, lambda_mask=1.015000
