epoch=1, lr=1.000000e-03, train_nmse=0.510754, val_nmse=0.401692
epoch=2, lr=1.000000e-03, train_nmse=0.341034, val_nmse=0.346612
epoch=3, lr=1.000000e-03, train_nmse=0.305963, val_nmse=0.319308
epoch=4, lr=1.000000e-03, train_nmse=0.283830, val_nmse=0.308679
epoch=5, lr=1.000000e-03, train_nmse=0.267225, val_nmse=0.295252
epoch=6, lr=1.000000e-03, train_nmse=0.255785, val_nmse=0.285563
epoch=7, lr=1.000000e-03, train_nmse=0.247768, val_nmse=0.280826
epoch=8, lr=1.000000e-03, train_nmse=0.241674, val_nmse=0.274873
epoch=9, lr=1.000000e-03, train_nmse=0.234676, val_nmse=0.275142
epoch=10, lr=1.000000e-03, train_nmse=0.231081, val_nmse=0.269085
epoch=11, lr=1.000000e-03, train_nmse=0.226291, val_nmse=0.267012
epoch=12, lr=1.000000e-03, train_nmse=0.223503, val_nmse=0.261994
epoch=13, lr=1.000000e-03, train_nmse=0.217862, val_nmse=0.256229
epoch=14, lr=1.000000e-03, train_nmse=0.215248, val_nmse=0.254980
epoch=15, lr=1.000000e-03, train_nmse=0.213909, val_nmse=0.252116
epoch=16, lr=1.000000e-03, train_nmse=0.211034, val_nmse=0.249257
epoch=17, lr=1.000000e-03, train_nmse=0.208301, val_nmse=0.250343
epoch=18, lr=1.000000e-03, train_nmse=0.206698, val_nmse=0.249034
epoch=19, lr=1.000000e-03, train_nmse=0.205111, val_nmse=0.247436
epoch=20, lr=1.000000e-03, train_nmse=0.203106, val_nmse=0.250220
epoch=21, lr=1.000000e-03, train_nmse=0.202398, val_nmse=0.244680
epoch=22, lr=1.000000e-03, train_nmse=0.199651, val_nmse=0.245190
epoch=23, lr=1.000000e-03, train_nmse=0.198748, val_nmse=0.240752
epoch=24, lr=1.000000e-03, train_nmse=0.197045, val_nmse=0.248413
epoch=25, lr=1.000000e-03, train_nmse=0.195571, val_nmse=0.240933
epoch=26, lr=1.000000e-03, train_nmse=0.195583, val_nmse=0.241402
epoch=27, lr=1.000000e-03, train_nmse=0.193480, val_nmse=0.241094
epoch=28, lr=1.000000e-03, train_nmse=0.192614, val_nmse=0.238419
epoch=29, lr=1.000000e-03, train_nmse=0.191669, val_nmse=0.236656
epoch=30, lr=1.000000e-03, train_nmse=0.189985, val_nmse=0.237156
epoch=31, lr=1.000000e-03, train_nmse=0.189108, val_nmse=0.238649
epoch=32, lr=1.000000e-03, train_nmse=0.188899, val_nmse=0.238735
epoch=33, lr=1.000000e-03, train_nmse=0.187300, val_nmse=0.237707
epoch=34, lr=1.000000e-03, train_nmse=0.185554, val_nmse=0.236749
epoch=35, lr=1.000000e-03, train_nmse=0.186005, val_nmse=0.234298
epoch=36, lr=1.000000e-03, train_nmse=0.185579, val_nmse=0.233099
epoch=37, lr=1.000000e-03, train_nmse=0.182717, val_nmse=0.232319
epoch=38, lr=1.000000e-03, train_nmse=0.181912, val_nmse=0.234241
epoch=39, lr=1.000000e-03, train_nmse=0.181083, val_nmse=0.231067
epoch=40, lr=1.000000e-03, train_nmse=0.180497, val_nmse=0.228136
epoch=41, lr=1.000000e-03, train_nmse=0.178737, val_nmse=0.232699
epoch=42, lr=1.000000e-03, train_nmse=0.178545, val_nmse=0.228491
epoch=43, lr=1.000000e-03, train_nmse=0.179184, val_nmse=0.231925
epoch=44, lr=1.000000e-03, train_nmse=0.177933, val_nmse=0.225989
epoch=45, lr=1.000000e-03, train_nmse=0.176825, val_nmse=0.227786
epoch=46, lr=1.000000e-03, train_nmse=0.176111, val_nmse=0.226735
epoch=47, lr=1.000000e-03, train_nmse=0.175693, val_nmse=0.226426
epoch=48, lr=1.000000e-03, train_nmse=0.175278, val_nmse=0.227405
epoch=49, lr=1.000000e-03, train_nmse=0.174327, val_nmse=0.226496
epoch=50, lr=1.000000e-03, train_nmse=0.173153, val_nmse=0.227536
epoch=51, lr=1.000000e-03, train_nmse=0.173328, val_nmse=0.225350
epoch=52, lr=1.000000e-03, train_nmse=0.172643, val_nmse=0.224767
epoch=53, lr=1.000000e-03, train_nmse=0.173436, val_nmse=0.228207
epoch=54, lr=1.000000e-03, train_nmse=0.172377, val_nmse=0.228726
epoch=55, lr=1.000000e-03, train_nmse=0.171210, val_nmse=0.224712
epoch=56, lr=1.000000e-03, train_nmse=0.170395, val_nmse=0.224761
epoch=57, lr=1.000000e-03, train_nmse=0.170948, val_nmse=0.224313
epoch=58, lr=1.000000e-03, train_nmse=0.170720, val_nmse=0.226549
epoch=59, lr=1.000000e-03, train_nmse=0.170146, val_nmse=0.224033
epoch=60, lr=1.000000e-03, train_nmse=0.169093, val_nmse=0.225211
epoch=61, lr=1.000000e-03, train_nmse=0.169167, val_nmse=0.226267
epoch=62, lr=1.000000e-03, train_nmse=0.168359, val_nmse=0.223291
epoch=63, lr=1.000000e-03, train_nmse=0.169799, val_nmse=0.226616
epoch=64, lr=1.000000e-03, train_nmse=0.169488, val_nmse=0.225921
epoch=65, lr=1.000000e-03, train_nmse=0.167473, val_nmse=0.221589
epoch=66, lr=1.000000e-03, train_nmse=0.167446, val_nmse=0.224332
epoch=67, lr=1.000000e-03, train_nmse=0.167661, val_nmse=0.224576
epoch=68, lr=1.000000e-03, train_nmse=0.167362, val_nmse=0.222788
