epoch=1, lr=1.000000e-03, train_nmse=0.704040, val_nmse=0.567180
epoch=2, lr=1.000000e-03, train_nmse=0.484983, val_nmse=0.502491
epoch=3, lr=1.000000e-03, train_nmse=0.436510, val_nmse=0.453576
epoch=4, lr=1.000000e-03, train_nmse=0.404818, val_nmse=0.424196
epoch=5, lr=1.000000e-03, train_nmse=0.371970, val_nmse=0.402534
epoch=6, lr=1.000000e-03, train_nmse=0.349721, val_nmse=0.383638
epoch=7, lr=1.000000e-03, train_nmse=0.325814, val_nmse=0.364721
epoch=8, lr=1.000000e-03, train_nmse=0.311300, val_nmse=0.355067
epoch=9, lr=1.000000e-03, train_nmse=0.303442, val_nmse=0.343923
epoch=10, lr=1.000000e-03, train_nmse=0.290766, val_nmse=0.332273
epoch=11, lr=1.000000e-03, train_nmse=0.283292, val_nmse=0.324085
epoch=12, lr=1.000000e-03, train_nmse=0.274228, val_nmse=0.313330
epoch=13, lr=1.000000e-03, train_nmse=0.267248, val_nmse=0.311814
epoch=14, lr=1.000000e-03, train_nmse=0.262377, val_nmse=0.305080
epoch=15, lr=1.000000e-03, train_nmse=0.255816, val_nmse=0.298729
epoch=16, lr=1.000000e-03, train_nmse=0.251333, val_nmse=0.294541
epoch=17, lr=1.000000e-03, train_nmse=0.247057, val_nmse=0.293129
epoch=18, lr=1.000000e-03, train_nmse=0.241358, val_nmse=0.287356
epoch=19, lr=1.000000e-03, train_nmse=0.237379, val_nmse=0.281956
epoch=20, lr=1.000000e-03, train_nmse=0.233759, val_nmse=0.280017
epoch=21, lr=1.000000e-03, train_nmse=0.230012, val_nmse=0.276846
epoch=22, lr=1.000000e-03, train_nmse=0.226178, val_nmse=0.276142
epoch=23, lr=1.000000e-03, train_nmse=0.224070, val_nmse=0.271642
epoch=24, lr=1.000000e-03, train_nmse=0.222581, val_nmse=0.270837
epoch=25, lr=1.000000e-03, train_nmse=0.220783, val_nmse=0.270872
epoch=26, lr=1.000000e-03, train_nmse=0.217569, val_nmse=0.267450
epoch=27, lr=1.000000e-03, train_nmse=0.215134, val_nmse=0.264138
epoch=28, lr=1.000000e-03, train_nmse=0.213383, val_nmse=0.264468
epoch=29, lr=1.000000e-03, train_nmse=0.213816, val_nmse=0.263648
epoch=30, lr=1.000000e-03, train_nmse=0.210084, val_nmse=0.260253
epoch=31, lr=1.000000e-03, train_nmse=0.208810, val_nmse=0.258373
epoch=32, lr=1.000000e-03, train_nmse=0.207423, val_nmse=0.258388
epoch=33, lr=1.000000e-03, train_nmse=0.206985, val_nmse=0.260920
epoch=34, lr=1.000000e-03, train_nmse=0.205244, val_nmse=0.259179
epoch=35, lr=1.000000e-03, train_nmse=0.204491, val_nmse=0.259306
epoch=36, lr=1.000000e-03, train_nmse=0.203227, val_nmse=0.254600
epoch=37, lr=1.000000e-03, train_nmse=0.200436, val_nmse=0.255486
epoch=38, lr=1.000000e-03, train_nmse=0.198971, val_nmse=0.254980
epoch=39, lr=1.000000e-03, train_nmse=0.197709, val_nmse=0.251575
epoch=40, lr=1.000000e-03, train_nmse=0.195928, val_nmse=0.250052
epoch=41, lr=1.000000e-03, train_nmse=0.193987, val_nmse=0.249918
epoch=42, lr=1.000000e-03, train_nmse=0.193000, val_nmse=0.248017
epoch=43, lr=1.000000e-03, train_nmse=0.191925, val_nmse=0.249931
epoch=44, lr=1.000000e-03, train_nmse=0.191610, val_nmse=0.247263
epoch=45, lr=1.000000e-03, train_nmse=0.190291, val_nmse=0.248256
epoch=46, lr=1.000000e-03, train_nmse=0.189113, val_nmse=0.244661
epoch=47, lr=1.000000e-03, train_nmse=0.188044, val_nmse=0.243893
epoch=48, lr=1.000000e-03, train_nmse=0.187328, val_nmse=0.244296
epoch=49, lr=1.000000e-03, train_nmse=0.186292, val_nmse=0.244144
epoch=50, lr=1.000000e-03, train_nmse=0.185036, val_nmse=0.241573
epoch=51, lr=1.000000e-03, train_nmse=0.183978, val_nmse=0.240735
epoch=52, lr=1.000000e-03, train_nmse=0.183477, val_nmse=0.240737
epoch=53, lr=1.000000e-03, train_nmse=0.182408, val_nmse=0.239988
epoch=54, lr=1.000000e-03, train_nmse=0.181787, val_nmse=0.239422
epoch=55, lr=1.000000e-03, train_nmse=0.181439, val_nmse=0.238999
epoch=56, lr=1.000000e-03, train_nmse=0.181331, val_nmse=0.238548
epoch=57, lr=1.000000e-03, train_nmse=0.180135, val_nmse=0.238127
epoch=58, lr=1.000000e-03, train_nmse=0.179543, val_nmse=0.239227
epoch=59, lr=1.000000e-03, train_nmse=0.179149, val_nmse=0.238921
epoch=60, lr=1.000000e-03, train_nmse=0.179305, val_nmse=0.238963
epoch=61, lr=1.000000e-03, train_nmse=0.178423, val_nmse=0.238417
epoch=62, lr=1.000000e-03, train_nmse=0.177605, val_nmse=0.235707
epoch=63, lr=1.000000e-03, train_nmse=0.177457, val_nmse=0.236644
epoch=64, lr=1.000000e-03, train_nmse=0.177036, val_nmse=0.235997
epoch=65, lr=1.000000e-03, train_nmse=0.176483, val_nmse=0.234712
epoch=66, lr=1.000000e-03, train_nmse=0.175907, val_nmse=0.234983
epoch=67, lr=1.000000e-03, train_nmse=0.175740, val_nmse=0.236116
epoch=68, lr=1.000000e-03, train_nmse=0.175623, val_nmse=0.235204
epoch=69, lr=1.000000e-03, train_nmse=0.174750, val_nmse=0.235412
epoch=70, lr=1.000000e-03, train_nmse=0.174350, val_nmse=0.233518
epoch=71, lr=1.000000e-03, train_nmse=0.173452, val_nmse=0.235217
epoch=72, lr=1.000000e-03, train_nmse=0.173119, val_nmse=0.234597
epoch=73, lr=1.000000e-03, train_nmse=0.172508, val_nmse=0.234398
epoch=74, lr=1.000000e-03, train_nmse=0.172354, val_nmse=0.233756
epoch=75, lr=1.000000e-03, train_nmse=0.171800, val_nmse=0.235559
epoch=76, lr=1.000000e-03, train_nmse=0.171849, val_nmse=0.235033
epoch=77, lr=1.000000e-03, train_nmse=0.173575, val_nmse=0.232854
epoch=78, lr=1.000000e-03, train_nmse=0.171377, val_nmse=0.233134
epoch=79, lr=1.000000e-03, train_nmse=0.170365, val_nmse=0.232558
epoch=80, lr=1.000000e-03, train_nmse=0.169436, val_nmse=0.230953
epoch=81, lr=1.000000e-03, train_nmse=0.168842, val_nmse=0.231187
epoch=82, lr=1.000000e-03, train_nmse=0.168520, val_nmse=0.232457
epoch=83, lr=1.000000e-03, train_nmse=0.168259, val_nmse=0.231382
epoch=84, lr=1.000000e-03, train_nmse=0.168390, val_nmse=0.230428
epoch=85, lr=1.000000e-03, train_nmse=0.167396, val_nmse=0.232410
epoch=86, lr=1.000000e-03, train_nmse=0.167335, val_nmse=0.233717
epoch=87, lr=1.000000e-03, train_nmse=0.166924, val_nmse=0.230928
epoch=88, lr=1.000000e-03, train_nmse=0.166572, val_nmse=0.232003
epoch=89, lr=1.000000e-03, train_nmse=0.165919, val_nmse=0.230322
epoch=90, lr=1.000000e-03, train_nmse=0.165746, val_nmse=0.228987
epoch=91, lr=1.000000e-03, train_nmse=0.165408, val_nmse=0.229787
epoch=92, lr=1.000000e-03, train_nmse=0.164553, val_nmse=0.228611
epoch=93, lr=1.000000e-03, train_nmse=0.164574, val_nmse=0.229152
epoch=94, lr=1.000000e-03, train_nmse=0.164445, val_nmse=0.228714
epoch=95, lr=1.000000e-03, train_nmse=0.164478, val_nmse=0.228839
epoch=96, lr=1.000000e-03, train_nmse=0.163980, val_nmse=0.227759
epoch=97, lr=1.000000e-03, train_nmse=0.163282, val_nmse=0.229476
epoch=98, lr=1.000000e-03, train_nmse=0.163039, val_nmse=0.227743
epoch=99, lr=1.000000e-03, train_nmse=0.162682, val_nmse=0.228719
epoch=100, lr=1.000000e-04, train_nmse=0.162585, val_nmse=0.227850
epoch=101, lr=1.000000e-04, train_nmse=0.155819, val_nmse=0.222256
epoch=102, lr=1.000000e-04, train_nmse=0.154575, val_nmse=0.222109
epoch=103, lr=1.000000e-04, train_nmse=0.154348, val_nmse=0.221849
epoch=104, lr=1.000000e-04, train_nmse=0.154254, val_nmse=0.221897
epoch=105, lr=1.000000e-04, train_nmse=0.154105, val_nmse=0.221721
epoch=106, lr=1.000000e-04, train_nmse=0.153963, val_nmse=0.221955
epoch=107, lr=1.000000e-04, train_nmse=0.153970, val_nmse=0.221693
epoch=108, lr=1.000000e-04, train_nmse=0.153885, val_nmse=0.221764
epoch=109, lr=1.000000e-04, train_nmse=0.153780, val_nmse=0.221045
epoch=110, lr=1.000000e-04, train_nmse=0.153759, val_nmse=0.221268
epoch=111, lr=1.000000e-04, train_nmse=0.153649, val_nmse=0.221442
epoch=112, lr=1.000000e-04, train_nmse=0.153573, val_nmse=0.221617
epoch=113, lr=1.000000e-04, train_nmse=0.153474, val_nmse=0.221314
epoch=114, lr=1.000000e-04, train_nmse=0.153514, val_nmse=0.221211
epoch=115, lr=1.000000e-04, train_nmse=0.153373, val_nmse=0.220847
epoch=116, lr=1.000000e-04, train_nmse=0.153317, val_nmse=0.221423
epoch=117, lr=1.000000e-04, train_nmse=0.153267, val_nmse=0.221354
epoch=118, lr=1.000000e-04, train_nmse=0.153251, val_nmse=0.221090
epoch=119, lr=1.000000e-04, train_nmse=0.153131, val_nmse=0.220863
epoch=120, lr=1.000000e-04, train_nmse=0.153120, val_nmse=0.221231
epoch=121, lr=1.000000e-04, train_nmse=0.153009, val_nmse=0.221410
epoch=122, lr=1.000000e-04, train_nmse=0.152943, val_nmse=0.220624
epoch=123, lr=1.000000e-04, train_nmse=0.152936, val_nmse=0.221372
epoch=124, lr=1.000000e-04, train_nmse=0.152964, val_nmse=0.220561
epoch=125, lr=1.000000e-04, train_nmse=0.152827, val_nmse=0.221051
epoch=126, lr=1.000000e-04, train_nmse=0.152697, val_nmse=0.221263
epoch=127, lr=1.000000e-04, train_nmse=0.152713, val_nmse=0.221105
epoch=128, lr=1.000000e-04, train_nmse=0.152655, val_nmse=0.220722
epoch=129, lr=1.000000e-04, train_nmse=0.152637, val_nmse=0.220736
epoch=130, lr=1.000000e-04, train_nmse=0.152567, val_nmse=0.220778
epoch=131, lr=1.000000e-04, train_nmse=0.152447, val_nmse=0.220359
epoch=132, lr=1.000000e-04, train_nmse=0.152411, val_nmse=0.220656
epoch=133, lr=1.000000e-04, train_nmse=0.152306, val_nmse=0.220667
epoch=134, lr=1.000000e-04, train_nmse=0.152282, val_nmse=0.220475
epoch=135, lr=1.000000e-04, train_nmse=0.152376, val_nmse=0.220327
epoch=136, lr=1.000000e-04, train_nmse=0.152248, val_nmse=0.220462
epoch=137, lr=1.000000e-04, train_nmse=0.152091, val_nmse=0.220796
epoch=138, lr=1.000000e-04, train_nmse=0.152139, val_nmse=0.220198
epoch=139, lr=1.000000e-04, train_nmse=0.152142, val_nmse=0.220737
epoch=140, lr=1.000000e-04, train_nmse=0.152084, val_nmse=0.220227
epoch=141, lr=1.000000e-04, train_nmse=0.151902, val_nmse=0.220876
epoch=142, lr=1.000000e-04, train_nmse=0.151854, val_nmse=0.220087
epoch=143, lr=1.000000e-04, train_nmse=0.151887, val_nmse=0.221021
epoch=144, lr=1.000000e-04, train_nmse=0.151865, val_nmse=0.220564
epoch=145, lr=1.000000e-04, train_nmse=0.151777, val_nmse=0.220533
epoch=146, lr=1.000000e-04, train_nmse=0.151764, val_nmse=0.220639
epoch=147, lr=1.000000e-04, train_nmse=0.151719, val_nmse=0.220016
epoch=148, lr=1.000000e-04, train_nmse=0.151581, val_nmse=0.220320
epoch=149, lr=1.000000e-04, train_nmse=0.151622, val_nmse=0.220409
epoch=150, lr=1.000000e-04, train_nmse=0.151466, val_nmse=0.220162
epoch=151, lr=1.000000e-04, train_nmse=0.151450, val_nmse=0.220116
epoch=152, lr=1.000000e-04, train_nmse=0.151403, val_nmse=0.220125
epoch=153, lr=1.000000e-04, train_nmse=0.151409, val_nmse=0.220160
epoch=154, lr=1.000000e-04, train_nmse=0.151364, val_nmse=0.220083
epoch=155, lr=1.000000e-04, train_nmse=0.151368, val_nmse=0.220512
epoch=156, lr=1.000000e-04, train_nmse=0.151302, val_nmse=0.220025
epoch=157, lr=1.000000e-04, train_nmse=0.151206, val_nmse=0.220472
epoch=158, lr=1.000000e-04, train_nmse=0.151182, val_nmse=0.220215
epoch=159, lr=1.000000e-04, train_nmse=0.151155, val_nmse=0.220028
epoch=160, lr=1.000000e-04, train_nmse=0.151082, val_nmse=0.220108
epoch=161, lr=1.000000e-04, train_nmse=0.151010, val_nmse=0.220049
epoch=162, lr=1.000000e-04, train_nmse=0.150995, val_nmse=0.219726
epoch=163, lr=1.000000e-04, train_nmse=0.150998, val_nmse=0.219977
epoch=164, lr=1.000000e-04, train_nmse=0.150965, val_nmse=0.220178
epoch=165, lr=1.000000e-04, train_nmse=0.150900, val_nmse=0.219897
epoch=166, lr=1.000000e-04, train_nmse=0.150848, val_nmse=0.219871
epoch=167, lr=1.000000e-04, train_nmse=0.150731, val_nmse=0.219881
epoch=168, lr=1.000000e-04, train_nmse=0.150690, val_nmse=0.219899
epoch=169, lr=1.000000e-04, train_nmse=0.150697, val_nmse=0.219956
epoch=170, lr=1.000000e-04, train_nmse=0.150747, val_nmse=0.220757
epoch=171, lr=1.000000e-04, train_nmse=0.150665, val_nmse=0.219883
epoch=172, lr=1.000000e-04, train_nmse=0.150565, val_nmse=0.219760
epoch=173, lr=1.000000e-04, train_nmse=0.150559, val_nmse=0.220419
epoch=174, lr=1.000000e-04, train_nmse=0.150518, val_nmse=0.219743
epoch=175, lr=1.000000e-04, train_nmse=0.150445, val_nmse=0.220046
epoch=176, lr=1.000000e-04, train_nmse=0.150441, val_nmse=0.219764
epoch=177, lr=1.000000e-04, train_nmse=0.150381, val_nmse=0.219901
epoch=178, lr=1.000000e-04, train_nmse=0.150365, val_nmse=0.219983
epoch=179, lr=1.000000e-04, train_nmse=0.150266, val_nmse=0.220195
epoch=180, lr=1.000000e-04, train_nmse=0.150219, val_nmse=0.220390
epoch=181, lr=1.000000e-04, train_nmse=0.150163, val_nmse=0.219452
epoch=182, lr=1.000000e-04, train_nmse=0.150109, val_nmse=0.220157
epoch=183, lr=1.000000e-04, train_nmse=0.150158, val_nmse=0.220049
epoch=184, lr=1.000000e-04, train_nmse=0.150028, val_nmse=0.219947
epoch=185, lr=1.000000e-04, train_nmse=0.150082, val_nmse=0.219951
epoch=186, lr=1.000000e-04, train_nmse=0.150024, val_nmse=0.219739
epoch=187, lr=1.000000e-04, train_nmse=0.149897, val_nmse=0.219798
epoch=188, lr=1.000000e-04, train_nmse=0.149939, val_nmse=0.219764
epoch=189, lr=1.000000e-04, train_nmse=0.149916, val_nmse=0.219933
epoch=190, lr=1.000000e-04, train_nmse=0.149769, val_nmse=0.219800
epoch=191, lr=1.000000e-04, train_nmse=0.149779, val_nmse=0.219835
epoch=192, lr=1.000000e-04, train_nmse=0.149774, val_nmse=0.219758
epoch=193, lr=1.000000e-04, train_nmse=0.149660, val_nmse=0.219448
epoch=194, lr=1.000000e-04, train_nmse=0.149716, val_nmse=0.219552
