epoch=1, lr=1.000000e-03, train_total=1.7152744, train_mask=0.6257861, val_total=1.5946164, val_nmse=0.9967222, val_mask=0.5978942, val_clean=nan, gate=0.000000, lambda_mask=1.000000
epoch=2, lr=1.000000e-03, train_total=1.4195511, train_mask=0.5830632, val_total=1.1743302, val_nmse=0.6005195, val_mask=0.5738106, val_clean=nan, gate=0.033333, lambda_mask=1.000000
epoch=3, lr=1.000000e-03, train_total=1.0541904, train_mask=0.5503918, val_total=1.0458314, val_nmse=0.5012056, val_mask=0.5446259, val_clean=nan, gate=0.066667, lambda_mask=1.000000
epoch=4, lr=1.000000e-03, train_total=0.9587918, train_mask=0.5254615, val_total=0.9723643, val_nmse=0.4482181, val_mask=0.5241462, val_clean=nan, gate=0.100000, lambda_mask=1.000000
epoch=5, lr=1.000000e-03, train_total=0.9012884, train_mask=0.5074778, val_total=0.9456680, val_nmse=0.4353522, val_mask=0.5103158, val_clean=nan, gate=0.133333, lambda_mask=1.000000
epoch=6, lr=1.000000e-03, train_total=0.8716833, train_mask=0.4967118, val_total=0.9219685, val_nmse=0.4208231, val_mask=0.5011453, val_clean=nan, gate=0.166667, lambda_mask=1.000000
epoch=7, lr=1.000000e-03, train_total=0.8507585, train_mask=0.4884455, val_total=0.8981954, val_nmse=0.4033623, val_mask=0.4948331, val_clean=nan, gate=0.200000, lambda_mask=1.000000
epoch=8, lr=1.000000e-03, train_total=0.8402144, train_mask=0.4834707, val_total=0.8912923, val_nmse=0.4009156, val_mask=0.4903767, val_clean=nan, gate=0.233333, lambda_mask=1.000000
epoch=9, lr=1.000000e-03, train_total=0.8279064, train_mask=0.4792471, val_total=0.8782520, val_nmse=0.3915424, val_mask=0.4867096, val_clean=nan, gate=0.266667, lambda_mask=1.000000
epoch=10, lr=1.000000e-03, train_total=0.8162718, train_mask=0.4773241, val_total=0.8768210, val_nmse=0.3926813, val_mask=0.4841398, val_clean=nan, gate=0.300000, lambda_mask=1.000000
epoch=11, lr=1.000000e-03, train_total=0.8096640, train_mask=0.4748783, val_total=0.8774767, val_nmse=0.3933511, val_mask=0.4841256, val_clean=nan, gate=0.333333, lambda_mask=1.000000
epoch=12, lr=1.000000e-03, train_total=0.8285127, train_mask=0.4730338, val_total=0.8834890, val_nmse=0.3874418, val_mask=0.4800458, val_clean=nan, gate=0.366667, lambda_mask=1.033333
epoch=13, lr=1.000000e-03, train_total=0.8290666, train_mask=0.4721474, val_total=0.8888617, val_nmse=0.3802733, val_mask=0.4768016, val_clean=nan, gate=0.400000, lambda_mask=1.066667
epoch=14, lr=1.000000e-03, train_total=0.8401860, train_mask=0.4695552, val_total=0.9141445, val_nmse=0.3884855, val_mask=0.4778718, val_clean=nan, gate=0.433333, lambda_mask=1.100000
epoch=15, lr=1.000000e-03, train_total=0.8560969, train_mask=0.4676491, val_total=0.9168249, val_nmse=0.3808984, val_mask=0.4728763, val_clean=nan, gate=0.466667, lambda_mask=1.133333
epoch=16, lr=1.000000e-03, train_total=0.8624488, train_mask=0.4660292, val_total=0.9377623, val_nmse=0.3859885, val_mask=0.4729490, val_clean=nan, gate=0.500000, lambda_mask=1.166667
epoch=17, lr=1.000000e-03, train_total=0.8729822, train_mask=0.4648178, val_total=0.9497418, val_nmse=0.3838466, val_mask=0.4715793, val_clean=nan, gate=0.533333, lambda_mask=1.200000
epoch=18, lr=1.000000e-03, train_total=0.8860578, train_mask=0.4634861, val_total=0.9602487, val_nmse=0.3769223, val_mask=0.4729674, val_clean=nan, gate=0.566667, lambda_mask=1.233333
epoch=19, lr=1.000000e-03, train_total=0.8981379, train_mask=0.4624833, val_total=0.9713239, val_nmse=0.3764232, val_mask=0.4696585, val_clean=nan, gate=0.600000, lambda_mask=1.266667
epoch=20, lr=1.000000e-03, train_total=0.9118564, train_mask=0.4613761, val_total=0.9846422, val_nmse=0.3774205, val_mask=0.4670936, val_clean=nan, gate=0.633333, lambda_mask=1.300000
epoch=21, lr=1.000000e-03, train_total=0.9258921, train_mask=0.4600364, val_total=0.9954934, val_nmse=0.3750519, val_mask=0.4653311, val_clean=nan, gate=0.666667, lambda_mask=1.333333
epoch=22, lr=1.000000e-03, train_total=0.9391875, train_mask=0.4599417, val_total=1.0038371, val_nmse=0.3729245, val_mask=0.4616433, val_clean=nan, gate=0.700000, lambda_mask=1.366667
epoch=23, lr=1.000000e-03, train_total=0.9535053, train_mask=0.4588147, val_total=1.0412881, val_nmse=0.3912973, val_mask=0.4642791, val_clean=nan, gate=0.733333, lambda_mask=1.400000
epoch=24, lr=1.000000e-03, train_total=0.9673985, train_mask=0.4584227, val_total=1.0492044, val_nmse=0.3842178, val_mask=0.4639442, val_clean=nan, gate=0.766667, lambda_mask=1.433333
epoch=25, lr=1.000000e-03, train_total=0.9828986, train_mask=0.4575161, val_total=1.0637596, val_nmse=0.3841678, val_mask=0.4633581, val_clean=nan, gate=0.800000, lambda_mask=1.466667
epoch=26, lr=1.000000e-03, train_total=1.0020331, train_mask=0.4574811, val_total=1.0841468, val_nmse=0.3904304, val_mask=0.4624777, val_clean=nan, gate=0.833333, lambda_mask=1.500000
epoch=27, lr=1.000000e-03, train_total=1.0215348, train_mask=0.4577701, val_total=1.1098425, val_nmse=0.4002245, val_mask=0.4627944, val_clean=nan, gate=0.866667, lambda_mask=1.533333
