epoch=1, lr=1.000000e-03, train_total=0.8485281, train_mask=0.6399427, val_total=0.8324500, val_nmse=0.3247068, val_mask=0.6346790, val_clean=0.3411811, gate=0.000000, lambda_mask=0.800000
epoch=2, lr=1.000000e-03, train_total=0.7890001, train_mask=0.6180710, val_total=0.8091267, val_nmse=0.3145587, val_mask=0.6182101, val_clean=0.3001153, gate=0.005833, lambda_mask=0.800000
epoch=3, lr=1.000000e-03, train_total=0.7615300, train_mask=0.5962167, val_total=0.7959082, val_nmse=0.3141384, val_mask=0.6022123, val_clean=0.2740921, gate=0.011667, lambda_mask=0.800000
epoch=4, lr=1.000000e-03, train_total=0.7417138, train_mask=0.5785236, val_total=0.7894841, val_nmse=0.3186165, val_mask=0.5885845, val_clean=0.2616727, gate=0.017500, lambda_mask=0.800000
epoch=5, lr=1.000000e-03, train_total=0.7248591, train_mask=0.5625459, val_total=0.7836532, val_nmse=0.3223311, val_mask=0.5766527, val_clean=0.2680647, gate=0.023333, lambda_mask=0.800000
epoch=6, lr=1.000000e-03, train_total=0.7105590, train_mask=0.5491149, val_total=0.7797555, val_nmse=0.3298994, val_mask=0.5623201, val_clean=0.2545977, gate=0.029167, lambda_mask=0.800000
epoch=7, lr=1.000000e-03, train_total=0.7004617, train_mask=0.5369913, val_total=0.7560861, val_nmse=0.3132366, val_mask=0.5535619, val_clean=0.2549124, gate=0.035000, lambda_mask=0.800000
epoch=8, lr=1.000000e-03, train_total=0.6862389, train_mask=0.5256530, val_total=0.7491502, val_nmse=0.3132821, val_mask=0.5448352, val_clean=0.2525261, gate=0.040833, lambda_mask=0.800000
epoch=9, lr=1.000000e-03, train_total=0.6779984, train_mask=0.5152948, val_total=0.7388365, val_nmse=0.3128051, val_mask=0.5325392, val_clean=0.2472544, gate=0.046667, lambda_mask=0.800000
epoch=10, lr=1.000000e-03, train_total=0.6684189, train_mask=0.5060930, val_total=0.7441031, val_nmse=0.3271341, val_mask=0.5212112, val_clean=0.2469462, gate=0.052500, lambda_mask=0.800000
epoch=11, lr=1.000000e-03, train_total=0.6606918, train_mask=0.4984045, val_total=0.7375013, val_nmse=0.3250688, val_mask=0.5155405, val_clean=0.2458765, gate=0.058333, lambda_mask=0.800000
epoch=12, lr=1.000000e-03, train_total=0.6537022, train_mask=0.4918086, val_total=0.7266506, val_nmse=0.3180658, val_mask=0.5107310, val_clean=0.2410926, gate=0.064167, lambda_mask=0.800000
epoch=13, lr=1.000000e-03, train_total=0.6460271, train_mask=0.4853891, val_total=0.7224060, val_nmse=0.3185228, val_mask=0.5048540, val_clean=0.2439233, gate=0.070000, lambda_mask=0.800000
epoch=14, lr=1.000000e-03, train_total=0.6409243, train_mask=0.4805034, val_total=0.7286098, val_nmse=0.3277802, val_mask=0.5010369, val_clean=0.2398575, gate=0.075833, lambda_mask=0.800000
epoch=15, lr=1.000000e-03, train_total=0.6383319, train_mask=0.4764680, val_total=0.7116477, val_nmse=0.3148774, val_mask=0.4959628, val_clean=0.2367745, gate=0.081667, lambda_mask=0.800000
epoch=16, lr=1.000000e-03, train_total=0.6321733, train_mask=0.4729116, val_total=0.7083522, val_nmse=0.3137398, val_mask=0.4932655, val_clean=0.2308287, gate=0.087500, lambda_mask=0.800000
epoch=17, lr=1.000000e-03, train_total=0.6293529, train_mask=0.4699415, val_total=0.7229244, val_nmse=0.3301610, val_mask=0.4909543, val_clean=0.2378123, gate=0.093333, lambda_mask=0.800000
epoch=18, lr=1.000000e-03, train_total=0.6256374, train_mask=0.4669474, val_total=0.7148709, val_nmse=0.3263044, val_mask=0.4857081, val_clean=0.2348715, gate=0.099167, lambda_mask=0.800000
epoch=19, lr=1.000000e-03, train_total=0.6221811, train_mask=0.4648721, val_total=0.7195631, val_nmse=0.3317269, val_mask=0.4847952, val_clean=0.2381605, gate=0.105000, lambda_mask=0.800000
epoch=20, lr=1.000000e-03, train_total=0.6208425, train_mask=0.4627248, val_total=0.7095135, val_nmse=0.3232262, val_mask=0.4828591, val_clean=0.2403447, gate=0.110833, lambda_mask=0.800000
epoch=21, lr=1.000000e-03, train_total=0.6170716, train_mask=0.4604469, val_total=0.7177282, val_nmse=0.3325718, val_mask=0.4814455, val_clean=0.2328235, gate=0.116667, lambda_mask=0.800000
epoch=22, lr=1.000000e-03, train_total=0.6156765, train_mask=0.4588187, val_total=0.7131175, val_nmse=0.3299696, val_mask=0.4789349, val_clean=0.2337648, gate=0.122500, lambda_mask=0.800000
epoch=23, lr=1.000000e-03, train_total=0.6137854, train_mask=0.4575821, val_total=0.7083650, val_nmse=0.3270542, val_mask=0.4766386, val_clean=0.2359702, gate=0.128333, lambda_mask=0.800000
epoch=24, lr=1.000000e-03, train_total=0.6120760, train_mask=0.4557558, val_total=0.7120356, val_nmse=0.3304818, val_mask=0.4769421, val_clean=0.2343399, gate=0.134167, lambda_mask=0.800000
epoch=25, lr=1.000000e-03, train_total=0.6095354, train_mask=0.4549550, val_total=0.7261407, val_nmse=0.3447548, val_mask=0.4767324, val_clean=0.2351319, gate=0.140000, lambda_mask=0.800000
epoch=26, lr=1.000000e-03, train_total=0.6071138, train_mask=0.4534398, val_total=0.7028200, val_nmse=0.3242369, val_mask=0.4732288, val_clean=0.2353266, gate=0.145833, lambda_mask=0.800000
epoch=27, lr=1.000000e-03, train_total=0.6072057, train_mask=0.4525724, val_total=0.7001249, val_nmse=0.3221682, val_mask=0.4724460, val_clean=0.2365544, gate=0.151667, lambda_mask=0.800000
epoch=28, lr=1.000000e-03, train_total=0.6047861, train_mask=0.4514555, val_total=0.7047268, val_nmse=0.3254956, val_mask=0.4740389, val_clean=0.2370138, gate=0.157500, lambda_mask=0.800000
epoch=29, lr=1.000000e-03, train_total=0.6047483, train_mask=0.4509282, val_total=0.7089249, val_nmse=0.3319286, val_mask=0.4712454, val_clean=0.2388981, gate=0.163333, lambda_mask=0.800000
epoch=30, lr=1.000000e-03, train_total=0.6014460, train_mask=0.4498173, val_total=0.7010497, val_nmse=0.3230335, val_mask=0.4725202, val_clean=0.2317429, gate=0.169167, lambda_mask=0.800000
epoch=31, lr=1.000000e-03, train_total=0.6016834, train_mask=0.4490395, val_total=0.7038015, val_nmse=0.3287611, val_mask=0.4688004, val_clean=0.2347774, gate=0.175000, lambda_mask=0.800000
epoch=32, lr=1.000000e-03, train_total=0.6004193, train_mask=0.4485483, val_total=0.7102852, val_nmse=0.3342006, val_mask=0.4701057, val_clean=0.2386180, gate=0.180833, lambda_mask=0.800000
epoch=33, lr=1.000000e-03, train_total=0.5995069, train_mask=0.4481999, val_total=0.7098179, val_nmse=0.3356104, val_mask=0.4677594, val_clean=0.2329383, gate=0.186667, lambda_mask=0.800000
epoch=34, lr=1.000000e-03, train_total=0.5984211, train_mask=0.4477017, val_total=0.7064795, val_nmse=0.3318186, val_mask=0.4683262, val_clean=0.2358632, gate=0.192500, lambda_mask=0.800000
epoch=35, lr=1.000000e-03, train_total=0.5971886, train_mask=0.4469049, val_total=0.7053370, val_nmse=0.3313159, val_mask=0.4675263, val_clean=0.2352274, gate=0.198333, lambda_mask=0.800000
epoch=36, lr=1.000000e-03, train_total=0.5965069, train_mask=0.4464211, val_total=0.7073495, val_nmse=0.3312398, val_mask=0.4701372, val_clean=0.2324206, gate=0.204167, lambda_mask=0.800000
