epoch=1, lr=1.000000e-03, train_nmse=0.609314, val_nmse=0.507242
epoch=2, lr=1.000000e-03, train_nmse=0.441667, val_nmse=0.436142
epoch=3, lr=1.000000e-03, train_nmse=0.391408, val_nmse=0.396633
epoch=4, lr=1.000000e-03, train_nmse=0.362718, val_nmse=0.378718
epoch=5, lr=1.000000e-03, train_nmse=0.344551, val_nmse=0.360781
epoch=6, lr=1.000000e-03, train_nmse=0.331306, val_nmse=0.352209
epoch=7, lr=1.000000e-03, train_nmse=0.320814, val_nmse=0.344436
epoch=8, lr=1.000000e-03, train_nmse=0.312465, val_nmse=0.340100
epoch=9, lr=1.000000e-03, train_nmse=0.305588, val_nmse=0.334185
epoch=10, lr=1.000000e-03, train_nmse=0.300392, val_nmse=0.332557
epoch=11, lr=1.000000e-03, train_nmse=0.295797, val_nmse=0.324800
epoch=12, lr=1.000000e-03, train_nmse=0.291320, val_nmse=0.319670
epoch=13, lr=1.000000e-03, train_nmse=0.288326, val_nmse=0.316713
epoch=14, lr=1.000000e-03, train_nmse=0.284790, val_nmse=0.318614
epoch=15, lr=1.000000e-03, train_nmse=0.281238, val_nmse=0.309220
epoch=16, lr=1.000000e-03, train_nmse=0.278273, val_nmse=0.308333
epoch=17, lr=1.000000e-03, train_nmse=0.276203, val_nmse=0.304244
epoch=18, lr=1.000000e-03, train_nmse=0.274390, val_nmse=0.303795
epoch=19, lr=1.000000e-03, train_nmse=0.271445, val_nmse=0.301761
epoch=20, lr=1.000000e-03, train_nmse=0.270119, val_nmse=0.298209
epoch=21, lr=1.000000e-03, train_nmse=0.268091, val_nmse=0.304039
epoch=22, lr=1.000000e-03, train_nmse=0.266386, val_nmse=0.295607
epoch=23, lr=1.000000e-03, train_nmse=0.264711, val_nmse=0.300773
epoch=24, lr=1.000000e-03, train_nmse=0.262482, val_nmse=0.296649
epoch=25, lr=1.000000e-03, train_nmse=0.262424, val_nmse=0.294436
epoch=26, lr=1.000000e-03, train_nmse=0.260775, val_nmse=0.293242
epoch=27, lr=1.000000e-03, train_nmse=0.259434, val_nmse=0.291130
epoch=28, lr=1.000000e-03, train_nmse=0.257552, val_nmse=0.291644
epoch=29, lr=1.000000e-03, train_nmse=0.256665, val_nmse=0.285947
epoch=30, lr=1.000000e-03, train_nmse=0.255500, val_nmse=0.292728
epoch=31, lr=1.000000e-03, train_nmse=0.254378, val_nmse=0.285005
epoch=32, lr=1.000000e-03, train_nmse=0.253965, val_nmse=0.286322
epoch=33, lr=1.000000e-03, train_nmse=0.252426, val_nmse=0.284832
epoch=34, lr=1.000000e-03, train_nmse=0.251323, val_nmse=0.283730
epoch=35, lr=1.000000e-03, train_nmse=0.250610, val_nmse=0.283890
epoch=36, lr=1.000000e-03, train_nmse=0.250105, val_nmse=0.284015
epoch=37, lr=1.000000e-03, train_nmse=0.249506, val_nmse=0.286143
epoch=38, lr=1.000000e-03, train_nmse=0.248403, val_nmse=0.286399
epoch=39, lr=1.000000e-03, train_nmse=0.247441, val_nmse=0.284194
epoch=40, lr=1.000000e-03, train_nmse=0.247958, val_nmse=0.281891
epoch=41, lr=1.000000e-03, train_nmse=0.246489, val_nmse=0.280842
epoch=42, lr=1.000000e-03, train_nmse=0.245111, val_nmse=0.284789
epoch=43, lr=1.000000e-03, train_nmse=0.245020, val_nmse=0.279140
epoch=44, lr=1.000000e-03, train_nmse=0.244063, val_nmse=0.278838
epoch=45, lr=1.000000e-03, train_nmse=0.244302, val_nmse=0.278070
epoch=46, lr=1.000000e-03, train_nmse=0.243334, val_nmse=0.278970
epoch=47, lr=1.000000e-03, train_nmse=0.244051, val_nmse=0.282749
epoch=48, lr=1.000000e-03, train_nmse=0.245079, val_nmse=0.277069
epoch=49, lr=1.000000e-03, train_nmse=0.243145, val_nmse=0.274892
epoch=50, lr=1.000000e-03, train_nmse=0.241443, val_nmse=0.278391
epoch=51, lr=1.000000e-03, train_nmse=0.241752, val_nmse=0.280428
epoch=52, lr=1.000000e-03, train_nmse=0.241332, val_nmse=0.276518
epoch=53, lr=1.000000e-03, train_nmse=0.244069, val_nmse=0.273181
epoch=54, lr=1.000000e-03, train_nmse=0.241728, val_nmse=0.275116
epoch=55, lr=1.000000e-03, train_nmse=0.242921, val_nmse=0.277846
epoch=56, lr=1.000000e-03, train_nmse=0.241876, val_nmse=0.275955
epoch=57, lr=1.000000e-03, train_nmse=0.238542, val_nmse=0.278354
epoch=58, lr=1.000000e-03, train_nmse=0.241393, val_nmse=0.275576
epoch=59, lr=1.000000e-03, train_nmse=0.237102, val_nmse=0.270190
epoch=60, lr=1.000000e-03, train_nmse=0.240899, val_nmse=0.274454
epoch=61, lr=1.000000e-03, train_nmse=0.237366, val_nmse=0.275693
epoch=62, lr=1.000000e-03, train_nmse=0.238628, val_nmse=0.274041
epoch=63, lr=1.000000e-03, train_nmse=0.238661, val_nmse=0.272312
epoch=64, lr=1.000000e-03, train_nmse=0.238178, val_nmse=0.276255
epoch=65, lr=1.000000e-03, train_nmse=0.242044, val_nmse=0.294618
epoch=66, lr=1.000000e-03, train_nmse=0.240492, val_nmse=0.272568
epoch=67, lr=1.000000e-03, train_nmse=0.239215, val_nmse=0.281518
epoch=68, lr=1.000000e-03, train_nmse=0.240620, val_nmse=0.285195
epoch=69, lr=1.000000e-03, train_nmse=0.240243, val_nmse=0.277280
epoch=70, lr=1.000000e-03, train_nmse=0.238522, val_nmse=0.272154
epoch=71, lr=1.000000e-03, train_nmse=0.240092, val_nmse=0.271726
epoch=72, lr=1.000000e-03, train_nmse=0.238323, val_nmse=0.272770
epoch=73, lr=1.000000e-03, train_nmse=0.238009, val_nmse=0.283323
