epoch=1, lr=1.000000e-03, train_total=0.7177507, train_mask=0.3050761, val_total=0.5024325, val_nmse=0.2981946, val_mask=0.2552974, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.420529, val_avg_gamma=0.730642
epoch=2, lr=1.000000e-03, train_total=0.4631027, train_mask=0.2503647, val_total=0.4518044, val_nmse=0.2581627, val_mask=0.2420522, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.746768, val_avg_gamma=0.744254
epoch=3, lr=1.000000e-03, train_total=0.4277509, train_mask=0.2364674, val_total=0.4243674, val_nmse=0.2418837, val_mask=0.2281045, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.676024, val_avg_gamma=0.601277
epoch=4, lr=1.000000e-03, train_total=0.4063696, train_mask=0.2237765, val_total=0.4127191, val_nmse=0.2389875, val_mask=0.2171644, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.548657, val_avg_gamma=0.456971
epoch=5, lr=1.000000e-03, train_total=0.3943739, train_mask=0.2157796, val_total=0.4028301, val_nmse=0.2344855, val_mask=0.2104308, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.524758, val_avg_gamma=0.530969
epoch=6, lr=1.000000e-03, train_total=0.3855494, train_mask=0.2098488, val_total=0.4059309, val_nmse=0.2410756, val_mask=0.2060692, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.439377, val_avg_gamma=0.352805
epoch=7, lr=1.000000e-03, train_total=0.3781573, train_mask=0.2060345, val_total=0.3856906, val_nmse=0.2252577, val_mask=0.2005411, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.378090, val_avg_gamma=0.416698
epoch=8, lr=1.000000e-03, train_total=0.3742778, train_mask=0.2037922, val_total=0.3859444, val_nmse=0.2266036, val_mask=0.1991761, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.357056, val_avg_gamma=0.178612
epoch=9, lr=1.000000e-03, train_total=0.3713634, train_mask=0.2024242, val_total=0.3905980, val_nmse=0.2325150, val_mask=0.1976037, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.322346, val_avg_gamma=0.368791
epoch=10, lr=1.000000e-03, train_total=0.3685818, train_mask=0.2013297, val_total=0.3794581, val_nmse=0.2209786, val_mask=0.1980993, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.299624, val_avg_gamma=0.274022
epoch=11, lr=1.000000e-03, train_total=0.3665746, train_mask=0.2005553, val_total=0.3835284, val_nmse=0.2246401, val_mask=0.1986104, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.282559, val_avg_gamma=0.253082
epoch=12, lr=1.000000e-03, train_total=0.3648022, train_mask=0.2003038, val_total=0.3861949, val_nmse=0.2299272, val_mask=0.1953346, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.259666, val_avg_gamma=0.208142
epoch=13, lr=1.000000e-03, train_total=0.3625621, train_mask=0.1993777, val_total=0.3782791, val_nmse=0.2233198, val_mask=0.1936991, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.246832, val_avg_gamma=0.208774
epoch=14, lr=1.000000e-03, train_total=0.3616601, train_mask=0.1992226, val_total=0.3804128, val_nmse=0.2242864, val_mask=0.1951580, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.255506, val_avg_gamma=0.155657
epoch=15, lr=1.000000e-03, train_total=0.3604819, train_mask=0.1988420, val_total=0.3762708, val_nmse=0.2207127, val_mask=0.1944476, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.259834, val_avg_gamma=0.197218
epoch=16, lr=1.000000e-03, train_total=0.3596872, train_mask=0.1985626, val_total=0.3698306, val_nmse=0.2154370, val_mask=0.1929921, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.237595, val_avg_gamma=0.179305
epoch=17, lr=1.000000e-03, train_total=0.3585631, train_mask=0.1980590, val_total=0.3715933, val_nmse=0.2168610, val_mask=0.1934153, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.237065, val_avg_gamma=0.210541
epoch=18, lr=1.000000e-03, train_total=0.3575547, train_mask=0.1980179, val_total=0.3738146, val_nmse=0.2192483, val_mask=0.1932079, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.214935, val_avg_gamma=0.194289
epoch=19, lr=1.000000e-03, train_total=0.3570337, train_mask=0.1977308, val_total=0.3680324, val_nmse=0.2150935, val_mask=0.1911737, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.253939, val_avg_gamma=0.283609
epoch=20, lr=1.000000e-03, train_total=0.3561289, train_mask=0.1976165, val_total=0.3700891, val_nmse=0.2154415, val_mask=0.1933094, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.249421, val_avg_gamma=0.243600
epoch=21, lr=1.000000e-03, train_total=0.3560193, train_mask=0.1973226, val_total=0.3720518, val_nmse=0.2181976, val_mask=0.1923178, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.215553, val_avg_gamma=0.215602
epoch=22, lr=1.000000e-03, train_total=0.3543776, train_mask=0.1972295, val_total=0.3673893, val_nmse=0.2137826, val_mask=0.1920083, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.207451, val_avg_gamma=0.225761
epoch=23, lr=1.000000e-03, train_total=0.3541057, train_mask=0.1968174, val_total=0.3772131, val_nmse=0.2234460, val_mask=0.1922088, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.215603, val_avg_gamma=0.181053
epoch=24, lr=1.000000e-03, train_total=0.3533854, train_mask=0.1966368, val_total=0.3630807, val_nmse=0.2105996, val_mask=0.1906013, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.204284, val_avg_gamma=0.151787
epoch=25, lr=1.000000e-03, train_total=0.3529552, train_mask=0.1965686, val_total=0.3632932, val_nmse=0.2102142, val_mask=0.1913486, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.207782, val_avg_gamma=0.200567
epoch=26, lr=1.000000e-03, train_total=0.3520504, train_mask=0.1966026, val_total=0.3627769, val_nmse=0.2102288, val_mask=0.1906852, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.214813, val_avg_gamma=0.229252
epoch=27, lr=1.000000e-03, train_total=0.3519869, train_mask=0.1961267, val_total=0.3717065, val_nmse=0.2175392, val_mask=0.1927091, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.218681, val_avg_gamma=0.288564
epoch=28, lr=1.000000e-03, train_total=0.3512702, train_mask=0.1959768, val_total=0.3637037, val_nmse=0.2111336, val_mask=0.1907126, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.205168, val_avg_gamma=0.210637
epoch=29, lr=1.000000e-03, train_total=0.3518940, train_mask=0.1964267, val_total=0.3654898, val_nmse=0.2124204, val_mask=0.1913368, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.211729, val_avg_gamma=0.276915
epoch=30, lr=1.000000e-03, train_total=0.3505360, train_mask=0.1960987, val_total=0.3653384, val_nmse=0.2131425, val_mask=0.1902449, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.214491, val_avg_gamma=0.230848
epoch=31, lr=1.000000e-03, train_total=0.3508106, train_mask=0.1958609, val_total=0.3661792, val_nmse=0.2137809, val_mask=0.1904978, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.243987, val_avg_gamma=0.244168
epoch=32, lr=1.000000e-03, train_total=0.3500841, train_mask=0.1959656, val_total=0.3634063, val_nmse=0.2124622, val_mask=0.1886801, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.223528, val_avg_gamma=0.243838
epoch=33, lr=1.000000e-03, train_total=0.3500128, train_mask=0.1957659, val_total=0.3637576, val_nmse=0.2114101, val_mask=0.1904343, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.207397, val_avg_gamma=0.206055
epoch=34, lr=1.000000e-03, train_total=0.3489235, train_mask=0.1953626, val_total=0.3664747, val_nmse=0.2144007, val_mask=0.1900925, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.209067, val_avg_gamma=0.154534
epoch=35, lr=1.000000e-03, train_total=0.3487915, train_mask=0.1954678, val_total=0.3645938, val_nmse=0.2124358, val_mask=0.1901974, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.200413, val_avg_gamma=0.300619
epoch=36, lr=1.000000e-03, train_total=0.3485343, train_mask=0.1952305, val_total=0.3617492, val_nmse=0.2098758, val_mask=0.1898418, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.220086, val_avg_gamma=0.196460
epoch=37, lr=1.000000e-03, train_total=0.3482723, train_mask=0.1951737, val_total=0.3631203, val_nmse=0.2107591, val_mask=0.1904515, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.218605, val_avg_gamma=0.216515
epoch=38, lr=1.000000e-03, train_total=0.3478329, train_mask=0.1954249, val_total=0.3618963, val_nmse=0.2100595, val_mask=0.1897959, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.197404, val_avg_gamma=0.243579
epoch=39, lr=1.000000e-03, train_total=0.3481335, train_mask=0.1953458, val_total=0.3676039, val_nmse=0.2157989, val_mask=0.1897562, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.208603, val_avg_gamma=0.249402
epoch=40, lr=1.000000e-03, train_total=0.3470949, train_mask=0.1951025, val_total=0.3621726, val_nmse=0.2095397, val_mask=0.1907910, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.237199, val_avg_gamma=0.217754
epoch=41, lr=1.000000e-03, train_total=0.3470871, train_mask=0.1953560, val_total=0.3643728, val_nmse=0.2120402, val_mask=0.1904157, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.217613, val_avg_gamma=0.209607
epoch=42, lr=1.000000e-03, train_total=0.3476479, train_mask=0.1952131, val_total=0.3630458, val_nmse=0.2116904, val_mask=0.1891942, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.214599, val_avg_gamma=0.214247
epoch=43, lr=1.000000e-03, train_total=0.3467899, train_mask=0.1952795, val_total=0.3647499, val_nmse=0.2123676, val_mask=0.1904780, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.203541, val_avg_gamma=0.204205
epoch=44, lr=1.000000e-03, train_total=0.3470905, train_mask=0.1950708, val_total=0.3581043, val_nmse=0.2067129, val_mask=0.1892393, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.215666, val_avg_gamma=0.197855
epoch=45, lr=1.000000e-03, train_total=0.3459584, train_mask=0.1951459, val_total=0.3640510, val_nmse=0.2127037, val_mask=0.1891842, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.208272, val_avg_gamma=0.206305
epoch=46, lr=1.000000e-03, train_total=0.3465164, train_mask=0.1952105, val_total=0.3594695, val_nmse=0.2078710, val_mask=0.1894981, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.208853, val_avg_gamma=0.165897
epoch=47, lr=1.000000e-03, train_total=0.3458116, train_mask=0.1952672, val_total=0.3633460, val_nmse=0.2122037, val_mask=0.1889279, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.202926, val_avg_gamma=0.172898
epoch=48, lr=1.000000e-03, train_total=0.3463542, train_mask=0.1949846, val_total=0.3611738, val_nmse=0.2092156, val_mask=0.1899478, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.210166, val_avg_gamma=0.240103
epoch=49, lr=1.000000e-03, train_total=0.3456823, train_mask=0.1951301, val_total=0.3594406, val_nmse=0.2073051, val_mask=0.1901694, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.219651, val_avg_gamma=0.242864
epoch=50, lr=1.000000e-03, train_total=0.3454624, train_mask=0.1947495, val_total=0.3682895, val_nmse=0.2170811, val_mask=0.1890105, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.222728, val_avg_gamma=0.217997
epoch=51, lr=1.000000e-03, train_total=0.3454682, train_mask=0.1950584, val_total=0.3648177, val_nmse=0.2138585, val_mask=0.1886991, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.210725, val_avg_gamma=0.189195
