epoch=1, lr=1.000000e-03, train_total=1.4594828, train_mask=0.5405449, val_total=1.3798808, val_nmse=0.9988203, val_mask=0.4763256, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.440121, val_avg_gamma=0.284667
epoch=2, lr=1.000000e-03, train_total=1.0612945, train_mask=0.4638744, val_total=0.8212456, val_nmse=0.4671058, val_mask=0.4426747, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.492787, val_avg_gamma=0.562618
epoch=3, lr=1.000000e-03, train_total=0.7910754, train_mask=0.4429349, val_total=0.7530475, val_nmse=0.4103188, val_mask=0.4284109, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.452857, val_avg_gamma=0.404622
epoch=4, lr=1.000000e-03, train_total=0.7384911, train_mask=0.4272214, val_total=0.7093094, val_nmse=0.3737134, val_mask=0.4194950, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.403067, val_avg_gamma=0.407105
epoch=5, lr=1.000000e-03, train_total=0.7081860, train_mask=0.4149044, val_total=0.6950039, val_nmse=0.3673147, val_mask=0.4096116, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.396382, val_avg_gamma=0.420137
epoch=6, lr=1.000000e-03, train_total=0.6864766, train_mask=0.4035631, val_total=0.6774187, val_nmse=0.3589250, val_mask=0.3981172, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.377610, val_avg_gamma=0.390158
epoch=7, lr=1.000000e-03, train_total=0.6694893, train_mask=0.3938245, val_total=0.6626777, val_nmse=0.3536516, val_mask=0.3862826, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.383609, val_avg_gamma=0.412697
epoch=8, lr=1.000000e-03, train_total=0.6569832, train_mask=0.3855360, val_total=0.6516557, val_nmse=0.3473109, val_mask=0.3804309, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.382880, val_avg_gamma=0.375031
epoch=9, lr=1.000000e-03, train_total=0.6451805, train_mask=0.3781173, val_total=0.6429098, val_nmse=0.3429554, val_mask=0.3749430, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.370440, val_avg_gamma=0.392282
epoch=10, lr=1.000000e-03, train_total=0.6361457, train_mask=0.3731576, val_total=0.6388352, val_nmse=0.3446266, val_mask=0.3677607, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.367315, val_avg_gamma=0.351847
epoch=11, lr=1.000000e-03, train_total=0.6270886, train_mask=0.3686625, val_total=0.6251601, val_nmse=0.3369406, val_mask=0.3602744, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.375045, val_avg_gamma=0.382670
epoch=12, lr=1.000000e-03, train_total=0.6220671, train_mask=0.3654369, val_total=0.6254462, val_nmse=0.3350307, val_mask=0.3630194, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.371298, val_avg_gamma=0.371887
epoch=13, lr=1.000000e-03, train_total=0.6155851, train_mask=0.3628019, val_total=0.6214371, val_nmse=0.3314103, val_mask=0.3625334, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.344399, val_avg_gamma=0.355237
epoch=14, lr=1.000000e-03, train_total=0.6117484, train_mask=0.3610353, val_total=0.6129622, val_nmse=0.3261403, val_mask=0.3585274, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.328480, val_avg_gamma=0.404293
epoch=15, lr=1.000000e-03, train_total=0.6079476, train_mask=0.3597675, val_total=0.6255505, val_nmse=0.3425077, val_mask=0.3538035, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.319045, val_avg_gamma=0.324809
epoch=16, lr=1.000000e-03, train_total=0.6031996, train_mask=0.3581248, val_total=0.6080693, val_nmse=0.3280007, val_mask=0.3500857, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.329086, val_avg_gamma=0.347816
epoch=17, lr=1.000000e-03, train_total=0.6007083, train_mask=0.3570714, val_total=0.6105588, val_nmse=0.3296016, val_mask=0.3511965, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.339649, val_avg_gamma=0.344457
epoch=18, lr=1.000000e-03, train_total=0.5974627, train_mask=0.3563919, val_total=0.6040892, val_nmse=0.3216953, val_mask=0.3529924, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.328736, val_avg_gamma=0.336379
epoch=19, lr=1.000000e-03, train_total=0.5932358, train_mask=0.3549363, val_total=0.6058509, val_nmse=0.3233752, val_mask=0.3530945, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.335492, val_avg_gamma=0.303138
epoch=20, lr=1.000000e-03, train_total=0.5918302, train_mask=0.3547100, val_total=0.5944525, val_nmse=0.3169820, val_mask=0.3468381, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.309158, val_avg_gamma=0.411933
epoch=21, lr=1.000000e-03, train_total=0.5902258, train_mask=0.3545911, val_total=0.6001693, val_nmse=0.3188233, val_mask=0.3516825, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.327378, val_avg_gamma=0.391703
epoch=22, lr=1.000000e-03, train_total=0.5884749, train_mask=0.3537027, val_total=0.5945309, val_nmse=0.3160967, val_mask=0.3480427, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.324888, val_avg_gamma=0.432897
epoch=23, lr=1.000000e-03, train_total=0.5866185, train_mask=0.3531462, val_total=0.6130837, val_nmse=0.3294164, val_mask=0.3545841, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.339385, val_avg_gamma=0.296575
