epoch=1, lr=1.000000e-03, train_total=0.7974325, train_mask=0.3483619, val_total=0.5268377, val_nmse=0.3235070, val_mask=0.2541634, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.259315, val_avg_gamma=0.312343
epoch=2, lr=1.000000e-03, train_total=0.5014781, train_mask=0.2621277, val_total=0.4798530, val_nmse=0.2846257, val_mask=0.2440342, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.516679, val_avg_gamma=0.601995
epoch=3, lr=1.000000e-03, train_total=0.4653980, train_mask=0.2515481, val_total=0.4581234, val_nmse=0.2712442, val_mask=0.2335989, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.703036, val_avg_gamma=0.877164
epoch=4, lr=1.000000e-03, train_total=0.4408608, train_mask=0.2389095, val_total=0.4402572, val_nmse=0.2619585, val_mask=0.2228734, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.659286, val_avg_gamma=0.658331
epoch=5, lr=1.000000e-03, train_total=0.4239531, train_mask=0.2288081, val_total=0.4232516, val_nmse=0.2506517, val_mask=0.2157499, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.622301, val_avg_gamma=0.545646
epoch=6, lr=1.000000e-03, train_total=0.4118537, train_mask=0.2225021, val_total=0.4102221, val_nmse=0.2422410, val_mask=0.2099763, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.620123, val_avg_gamma=0.603698
epoch=7, lr=1.000000e-03, train_total=0.4023603, train_mask=0.2175592, val_total=0.4084858, val_nmse=0.2433105, val_mask=0.2064692, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.557411, val_avg_gamma=0.576055
epoch=8, lr=1.000000e-03, train_total=0.3938607, train_mask=0.2136984, val_total=0.4004685, val_nmse=0.2370789, val_mask=0.2042369, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.519298, val_avg_gamma=0.634021
epoch=9, lr=1.000000e-03, train_total=0.3898283, train_mask=0.2107096, val_total=0.3978016, val_nmse=0.2365016, val_mask=0.2016251, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.492403, val_avg_gamma=0.451280
epoch=10, lr=1.000000e-03, train_total=0.3839164, train_mask=0.2082102, val_total=0.3881634, val_nmse=0.2285355, val_mask=0.1995349, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.417019, val_avg_gamma=0.451249
epoch=11, lr=1.000000e-03, train_total=0.3811885, train_mask=0.2067436, val_total=0.3875429, val_nmse=0.2289933, val_mask=0.1981870, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.361221, val_avg_gamma=0.336562
