epoch=1, lr=1.000000e-03, train_total=0.9171618, train_mask=0.3384446, val_total=0.5354426, val_nmse=0.3339082, val_mask=0.2519180, val_clean=nan, gate=0.550000, lambda_mask=0.800000
epoch=2, lr=1.000000e-03, train_total=0.4934065, train_mask=0.2521220, val_total=0.4724622, val_nmse=0.2767843, val_mask=0.2445974, val_clean=nan, gate=0.547799, lambda_mask=0.800000
epoch=3, lr=1.000000e-03, train_total=0.4506882, train_mask=0.2445117, val_total=0.4553263, val_nmse=0.2657939, val_mask=0.2369156, val_clean=nan, gate=0.477249, lambda_mask=0.800000
epoch=4, lr=1.000000e-03, train_total=0.4292691, train_mask=0.2360523, val_total=0.4337808, val_nmse=0.2512475, val_mask=0.2281667, val_clean=nan, gate=0.433976, lambda_mask=0.800000
epoch=5, lr=1.000000e-03, train_total=0.4116571, train_mask=0.2266226, val_total=0.4217818, val_nmse=0.2451093, val_mask=0.2208405, val_clean=nan, gate=0.402087, lambda_mask=0.800000
epoch=6, lr=1.000000e-03, train_total=0.3998762, train_mask=0.2189872, val_total=0.4131393, val_nmse=0.2409065, val_mask=0.2152910, val_clean=nan, gate=0.377089, lambda_mask=0.800000
epoch=7, lr=1.000000e-03, train_total=0.3908389, train_mask=0.2132637, val_total=0.4027131, val_nmse=0.2340799, val_mask=0.2107915, val_clean=nan, gate=0.354976, lambda_mask=0.800000
epoch=8, lr=1.000000e-03, train_total=0.3834403, train_mask=0.2091201, val_total=0.3953032, val_nmse=0.2304641, val_mask=0.2060489, val_clean=nan, gate=0.335566, lambda_mask=0.800000
epoch=9, lr=1.000000e-03, train_total=0.3779185, train_mask=0.2055052, val_total=0.3919356, val_nmse=0.2292067, val_mask=0.2034111, val_clean=nan, gate=0.318799, lambda_mask=0.800000
epoch=10, lr=1.000000e-03, train_total=0.3736455, train_mask=0.2029856, val_total=0.3918423, val_nmse=0.2302216, val_mask=0.2020259, val_clean=nan, gate=0.303691, lambda_mask=0.800000
epoch=11, lr=1.000000e-03, train_total=0.3701097, train_mask=0.2010855, val_total=0.3849608, val_nmse=0.2255238, val_mask=0.1992962, val_clean=nan, gate=0.290227, lambda_mask=0.800000
epoch=12, lr=1.000000e-03, train_total=0.3670645, train_mask=0.1995504, val_total=0.3854344, val_nmse=0.2267424, val_mask=0.1983651, val_clean=nan, gate=0.278078, lambda_mask=0.800000
epoch=13, lr=1.000000e-03, train_total=0.3652402, train_mask=0.1983776, val_total=0.3835100, val_nmse=0.2258034, val_mask=0.1971332, val_clean=nan, gate=0.267356, lambda_mask=0.800000
epoch=14, lr=1.000000e-03, train_total=0.3624820, train_mask=0.1974987, val_total=0.3861784, val_nmse=0.2289040, val_mask=0.1965930, val_clean=nan, gate=0.257149, lambda_mask=0.800000
epoch=15, lr=1.000000e-03, train_total=0.3603326, train_mask=0.1967901, val_total=0.3751716, val_nmse=0.2184257, val_mask=0.1959324, val_clean=nan, gate=0.248612, lambda_mask=0.800000
epoch=16, lr=1.000000e-03, train_total=0.3594281, train_mask=0.1963304, val_total=0.3744939, val_nmse=0.2181487, val_mask=0.1954315, val_clean=nan, gate=0.240498, lambda_mask=0.800000
epoch=17, lr=1.000000e-03, train_total=0.3578798, train_mask=0.1957491, val_total=0.3744897, val_nmse=0.2194236, val_mask=0.1938327, val_clean=nan, gate=0.233534, lambda_mask=0.800000
epoch=18, lr=1.000000e-03, train_total=0.3555538, train_mask=0.1950936, val_total=0.3811441, val_nmse=0.2270340, val_mask=0.1926377, val_clean=nan, gate=0.226116, lambda_mask=0.800000
epoch=19, lr=1.000000e-03, train_total=0.3559878, train_mask=0.1950073, val_total=0.3716056, val_nmse=0.2165251, val_mask=0.1938506, val_clean=nan, gate=0.220275, lambda_mask=0.800000
epoch=20, lr=1.000000e-03, train_total=0.3542348, train_mask=0.1946641, val_total=0.3750647, val_nmse=0.2201195, val_mask=0.1936815, val_clean=nan, gate=0.214803, lambda_mask=0.800000
epoch=21, lr=1.000000e-03, train_total=0.3523494, train_mask=0.1943032, val_total=0.3740197, val_nmse=0.2200153, val_mask=0.1925055, val_clean=nan, gate=0.210411, lambda_mask=0.800000
epoch=22, lr=1.000000e-03, train_total=0.3512503, train_mask=0.1939057, val_total=0.3727037, val_nmse=0.2185834, val_mask=0.1926504, val_clean=nan, gate=0.204844, lambda_mask=0.800000
epoch=23, lr=1.000000e-03, train_total=0.3508387, train_mask=0.1937015, val_total=0.3674271, val_nmse=0.2139348, val_mask=0.1918653, val_clean=nan, gate=0.201059, lambda_mask=0.800000
epoch=24, lr=1.000000e-03, train_total=0.3496991, train_mask=0.1933910, val_total=0.3672251, val_nmse=0.2145958, val_mask=0.1907866, val_clean=nan, gate=0.197766, lambda_mask=0.800000
epoch=25, lr=1.000000e-03, train_total=0.3488816, train_mask=0.1928881, val_total=0.3705567, val_nmse=0.2174906, val_mask=0.1913326, val_clean=nan, gate=0.194358, lambda_mask=0.800000
epoch=26, lr=1.000000e-03, train_total=0.3479661, train_mask=0.1926486, val_total=0.3676664, val_nmse=0.2148363, val_mask=0.1910376, val_clean=nan, gate=0.191595, lambda_mask=0.800000
epoch=27, lr=1.000000e-03, train_total=0.3474972, train_mask=0.1924982, val_total=0.3690008, val_nmse=0.2155891, val_mask=0.1917646, val_clean=nan, gate=0.189187, lambda_mask=0.800000
epoch=28, lr=1.000000e-03, train_total=0.3468324, train_mask=0.1924240, val_total=0.3643807, val_nmse=0.2130868, val_mask=0.1891174, val_clean=nan, gate=0.186651, lambda_mask=0.800000
epoch=29, lr=1.000000e-03, train_total=0.3460437, train_mask=0.1920095, val_total=0.3677535, val_nmse=0.2153160, val_mask=0.1905468, val_clean=nan, gate=0.184660, lambda_mask=0.800000
epoch=30, lr=1.000000e-03, train_total=0.3449051, train_mask=0.1915915, val_total=0.3708717, val_nmse=0.2195774, val_mask=0.1891178, val_clean=nan, gate=0.182200, lambda_mask=0.800000
epoch=31, lr=1.000000e-03, train_total=0.3445626, train_mask=0.1914639, val_total=0.3626073, val_nmse=0.2115293, val_mask=0.1888475, val_clean=nan, gate=0.179852, lambda_mask=0.800000
epoch=32, lr=1.000000e-03, train_total=0.3446499, train_mask=0.1914126, val_total=0.3621261, val_nmse=0.2090595, val_mask=0.1913333, val_clean=nan, gate=0.178169, lambda_mask=0.800000
epoch=33, lr=1.000000e-03, train_total=0.3444195, train_mask=0.1912825, val_total=0.3614068, val_nmse=0.2107762, val_mask=0.1882882, val_clean=nan, gate=0.177175, lambda_mask=0.800000
epoch=34, lr=1.000000e-03, train_total=0.3435040, train_mask=0.1913099, val_total=0.3608383, val_nmse=0.2097495, val_mask=0.1888609, val_clean=nan, gate=0.175211, lambda_mask=0.800000
epoch=35, lr=1.000000e-03, train_total=0.3424674, train_mask=0.1913810, val_total=0.3606252, val_nmse=0.2109186, val_mask=0.1871332, val_clean=nan, gate=0.174487, lambda_mask=0.800000
epoch=36, lr=1.000000e-03, train_total=0.3427531, train_mask=0.1910028, val_total=0.3622341, val_nmse=0.2106210, val_mask=0.1895164, val_clean=nan, gate=0.173943, lambda_mask=0.800000
epoch=37, lr=1.000000e-03, train_total=0.3421233, train_mask=0.1908869, val_total=0.3633516, val_nmse=0.2136694, val_mask=0.1871026, val_clean=nan, gate=0.172951, lambda_mask=0.800000
epoch=38, lr=1.000000e-03, train_total=0.3411742, train_mask=0.1907860, val_total=0.3608547, val_nmse=0.2110555, val_mask=0.1872489, val_clean=nan, gate=0.171851, lambda_mask=0.800000
epoch=39, lr=1.000000e-03, train_total=0.3414935, train_mask=0.1908263, val_total=0.3616533, val_nmse=0.2113847, val_mask=0.1878357, val_clean=nan, gate=0.171249, lambda_mask=0.800000
epoch=40, lr=1.000000e-03, train_total=0.3428349, train_mask=0.1909102, val_total=0.3635963, val_nmse=0.2127926, val_mask=0.1885046, val_clean=nan, gate=0.170195, lambda_mask=0.800000
epoch=41, lr=1.000000e-03, train_total=0.3406257, train_mask=0.1905606, val_total=0.3624236, val_nmse=0.2119396, val_mask=0.1881049, val_clean=nan, gate=0.168850, lambda_mask=0.800000
epoch=42, lr=1.000000e-03, train_total=0.3405114, train_mask=0.1905441, val_total=0.3643810, val_nmse=0.2137569, val_mask=0.1882801, val_clean=nan, gate=0.168251, lambda_mask=0.800000
epoch=43, lr=1.000000e-03, train_total=0.3397172, train_mask=0.1903990, val_total=0.3639469, val_nmse=0.2142776, val_mask=0.1870866, val_clean=nan, gate=0.168022, lambda_mask=0.800000
epoch=44, lr=1.000000e-03, train_total=0.3391355, train_mask=0.1903712, val_total=0.3604436, val_nmse=0.2098220, val_mask=0.1882770, val_clean=nan, gate=0.167300, lambda_mask=0.800000
epoch=45, lr=1.000000e-03, train_total=0.3390451, train_mask=0.1902248, val_total=0.3590897, val_nmse=0.2093570, val_mask=0.1871659, val_clean=nan, gate=0.166748, lambda_mask=0.800000
