epoch=1, lr=1.000000e-03, train_total=0.6970418, train_mask=0.3484410, val_total=0.4106979, val_nmse=0.3295151, val_mask=0.2706094, val_clean=nan, gate=0.000000, lambda_mask=0.300000
epoch=2, lr=1.000000e-03, train_total=0.3649141, train_mask=0.2630103, val_total=0.3513056, val_nmse=0.2723187, val_mask=0.2632897, val_clean=nan, gate=0.002750, lambda_mask=0.300000
epoch=3, lr=1.000000e-03, train_total=0.3377448, train_mask=0.2538530, val_total=0.3343417, val_nmse=0.2585084, val_mask=0.2527776, val_clean=nan, gate=0.005500, lambda_mask=0.300000
epoch=4, lr=1.000000e-03, train_total=0.3192237, train_mask=0.2449441, val_total=0.3196768, val_nmse=0.2462712, val_mask=0.2446853, val_clean=nan, gate=0.008250, lambda_mask=0.300000
epoch=5, lr=1.000000e-03, train_total=0.3070938, train_mask=0.2379586, val_total=0.3107654, val_nmse=0.2385970, val_mask=0.2405613, val_clean=nan, gate=0.011000, lambda_mask=0.300000
epoch=6, lr=1.000000e-03, train_total=0.2990285, train_mask=0.2330392, val_total=0.3015661, val_nmse=0.2307256, val_mask=0.2361350, val_clean=nan, gate=0.013750, lambda_mask=0.300000
epoch=7, lr=1.000000e-03, train_total=0.2927969, train_mask=0.2296866, val_total=0.3005116, val_nmse=0.2309815, val_mask=0.2317669, val_clean=nan, gate=0.016500, lambda_mask=0.300000
epoch=8, lr=1.000000e-03, train_total=0.2886884, train_mask=0.2273506, val_total=0.2915044, val_nmse=0.2225479, val_mask=0.2298548, val_clean=nan, gate=0.019250, lambda_mask=0.300000
epoch=9, lr=1.000000e-03, train_total=0.2858329, train_mask=0.2260274, val_total=0.2911161, val_nmse=0.2224493, val_mask=0.2288894, val_clean=nan, gate=0.022000, lambda_mask=0.300000
epoch=10, lr=1.000000e-03, train_total=0.2828120, train_mask=0.2249118, val_total=0.2937475, val_nmse=0.2252045, val_mask=0.2284766, val_clean=nan, gate=0.024750, lambda_mask=0.300000
epoch=11, lr=1.000000e-03, train_total=0.2800688, train_mask=0.2240676, val_total=0.2857139, val_nmse=0.2173629, val_mask=0.2278365, val_clean=nan, gate=0.027500, lambda_mask=0.300000
epoch=12, lr=1.000000e-03, train_total=0.2779884, train_mask=0.2238940, val_total=0.2877681, val_nmse=0.2192818, val_mask=0.2282876, val_clean=nan, gate=0.030250, lambda_mask=0.300000
epoch=13, lr=1.000000e-03, train_total=0.2760996, train_mask=0.2234200, val_total=0.2840934, val_nmse=0.2160602, val_mask=0.2267775, val_clean=nan, gate=0.033000, lambda_mask=0.300000
epoch=14, lr=1.000000e-03, train_total=0.2755107, train_mask=0.2230373, val_total=0.2785877, val_nmse=0.2106739, val_mask=0.2263795, val_clean=nan, gate=0.035750, lambda_mask=0.300000
epoch=15, lr=1.000000e-03, train_total=0.2735150, train_mask=0.2230407, val_total=0.2804921, val_nmse=0.2124939, val_mask=0.2266609, val_clean=nan, gate=0.038500, lambda_mask=0.300000
epoch=16, lr=1.000000e-03, train_total=0.2725526, train_mask=0.2227523, val_total=0.2785983, val_nmse=0.2107502, val_mask=0.2261602, val_clean=nan, gate=0.041250, lambda_mask=0.300000
epoch=17, lr=1.000000e-03, train_total=0.2714209, train_mask=0.2225329, val_total=0.2793634, val_nmse=0.2116014, val_mask=0.2258736, val_clean=nan, gate=0.044000, lambda_mask=0.300000
