epoch=1, lr=1.000000e-03, train_total=0.4131548, train_mask=0.3384973, val_total=0.3582892, val_nmse=0.2719827, val_mask=0.2876884, val_clean=0.2083866, gate=0.000000, lambda_mask=0.300000
epoch=2, lr=1.000000e-03, train_total=0.3052662, train_mask=0.2533200, val_total=0.3358372, val_nmse=0.2522731, val_mask=0.2785470, val_clean=0.1958544, gate=0.002750, lambda_mask=0.300000
epoch=3, lr=1.000000e-03, train_total=0.2914351, train_mask=0.2446535, val_total=0.3238249, val_nmse=0.2429299, val_mask=0.2696502, val_clean=0.1865785, gate=0.005500, lambda_mask=0.300000
epoch=4, lr=1.000000e-03, train_total=0.2842073, train_mask=0.2360098, val_total=0.3286688, val_nmse=0.2497902, val_mask=0.2629287, val_clean=0.1926741, gate=0.008250, lambda_mask=0.300000
epoch=5, lr=1.000000e-03, train_total=0.2780370, train_mask=0.2291290, val_total=0.3138268, val_nmse=0.2367271, val_mask=0.2569992, val_clean=0.1852310, gate=0.011000, lambda_mask=0.300000
epoch=6, lr=1.000000e-03, train_total=0.2732949, train_mask=0.2251409, val_total=0.3162140, val_nmse=0.2397041, val_mask=0.2550330, val_clean=0.1876798, gate=0.013750, lambda_mask=0.300000
epoch=7, lr=1.000000e-03, train_total=0.2713143, train_mask=0.2223549, val_total=0.3089155, val_nmse=0.2337153, val_mask=0.2506674, val_clean=0.1840081, gate=0.016500, lambda_mask=0.300000
epoch=8, lr=1.000000e-03, train_total=0.2688168, train_mask=0.2203199, val_total=0.3124923, val_nmse=0.2374047, val_mask=0.2502921, val_clean=0.1843390, gate=0.019250, lambda_mask=0.300000
epoch=9, lr=1.000000e-03, train_total=0.2668679, train_mask=0.2188016, val_total=0.3093500, val_nmse=0.2345326, val_mask=0.2493912, val_clean=0.1820732, gate=0.022000, lambda_mask=0.300000
epoch=10, lr=1.000000e-03, train_total=0.2658329, train_mask=0.2177875, val_total=0.3060857, val_nmse=0.2310770, val_mask=0.2500290, val_clean=0.1804013, gate=0.024750, lambda_mask=0.300000
epoch=11, lr=1.000000e-03, train_total=0.2646990, train_mask=0.2169352, val_total=0.3024024, val_nmse=0.2276200, val_mask=0.2492744, val_clean=0.1785513, gate=0.027500, lambda_mask=0.300000
epoch=12, lr=1.000000e-03, train_total=0.2620628, train_mask=0.2163871, val_total=0.3012550, val_nmse=0.2269696, val_mask=0.2476179, val_clean=0.1782540, gate=0.030250, lambda_mask=0.300000
epoch=13, lr=1.000000e-03, train_total=0.2621675, train_mask=0.2158169, val_total=0.3000624, val_nmse=0.2256313, val_mask=0.2481035, val_clean=0.1764123, gate=0.033000, lambda_mask=0.300000
epoch=14, lr=1.000000e-03, train_total=0.2628608, train_mask=0.2157179, val_total=0.3020336, val_nmse=0.2280977, val_mask=0.2464529, val_clean=0.1780696, gate=0.035750, lambda_mask=0.300000
epoch=15, lr=1.000000e-03, train_total=0.2593264, train_mask=0.2154285, val_total=0.3021807, val_nmse=0.2277172, val_mask=0.2482118, val_clean=0.1802152, gate=0.038500, lambda_mask=0.300000
epoch=16, lr=1.000000e-03, train_total=0.2595181, train_mask=0.2152283, val_total=0.2982249, val_nmse=0.2244646, val_mask=0.2458677, val_clean=0.1773824, gate=0.041250, lambda_mask=0.300000
epoch=17, lr=1.000000e-03, train_total=0.2591169, train_mask=0.2151874, val_total=0.3085254, val_nmse=0.2345410, val_mask=0.2466147, val_clean=0.1818498, gate=0.044000, lambda_mask=0.300000
epoch=18, lr=1.000000e-03, train_total=0.2581315, train_mask=0.2149812, val_total=0.3027865, val_nmse=0.2288519, val_mask=0.2464487, val_clean=0.1767841, gate=0.046750, lambda_mask=0.300000
epoch=19, lr=1.000000e-03, train_total=0.2571107, train_mask=0.2147928, val_total=0.3021379, val_nmse=0.2283086, val_mask=0.2460977, val_clean=0.1766335, gate=0.049500, lambda_mask=0.300000
epoch=20, lr=1.000000e-03, train_total=0.2566080, train_mask=0.2146971, val_total=0.2981459, val_nmse=0.2243101, val_mask=0.2461193, val_clean=0.1736981, gate=0.052250, lambda_mask=0.300000
epoch=21, lr=1.000000e-03, train_total=0.2566895, train_mask=0.2148304, val_total=0.2952028, val_nmse=0.2208957, val_mask=0.2476903, val_clean=0.1713171, gate=0.055000, lambda_mask=0.300000
epoch=22, lr=1.000000e-03, train_total=0.2553108, train_mask=0.2146396, val_total=0.2978205, val_nmse=0.2243149, val_mask=0.2450189, val_clean=0.1758035, gate=0.057750, lambda_mask=0.300000
epoch=23, lr=1.000000e-03, train_total=0.2556851, train_mask=0.2144489, val_total=0.3010274, val_nmse=0.2271341, val_mask=0.2463110, val_clean=0.1756917, gate=0.060500, lambda_mask=0.300000
epoch=24, lr=1.000000e-03, train_total=0.2566040, train_mask=0.2143529, val_total=0.2937906, val_nmse=0.2201769, val_mask=0.2453791, val_clean=0.1715885, gate=0.063250, lambda_mask=0.300000
epoch=25, lr=1.000000e-03, train_total=0.2538177, train_mask=0.2142335, val_total=0.2954973, val_nmse=0.2205108, val_mask=0.2499549, val_clean=0.1709404, gate=0.066000, lambda_mask=0.300000
epoch=26, lr=1.000000e-03, train_total=0.2530823, train_mask=0.2142033, val_total=0.2935904, val_nmse=0.2198976, val_mask=0.2456426, val_clean=0.1719642, gate=0.068750, lambda_mask=0.300000
