
epoch=1, lr=1.000000e-03, train_total=0.7740727, train_mask=0.3526520, val_total=0.4921898, val_nmse=0.2901331, val_mask=0.2525709, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.193207, val_avg_gamma=0.313601
epoch=2, lr=1.000000e-03, train_total=0.4794072, train_mask=0.2586185, val_total=0.4406471, val_nmse=0.2464293, val_mask=0.2427722, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.664293, val_avg_gamma=0.807738
epoch=3, lr=1.000000e-03, train_total=0.4469788, train_mask=0.2500406, val_total=0.4268767, val_nmse=0.2393164, val_mask=0.2344504, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.835838, val_avg_gamma=0.876928
epoch=4, lr=1.000000e-03, train_total=0.4279357, train_mask=0.2404728, val_total=0.4087531, val_nmse=0.2278352, val_mask=0.2261474, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.830035, val_avg_gamma=0.857236
epoch=5, lr=1.000000e-03, train_total=0.4124876, train_mask=0.2317205, val_total=0.4079198, val_nmse=0.2335347, val_mask=0.2179813, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.751188, val_avg_gamma=0.719976
epoch=6, lr=1.000000e-03, train_total=0.4009942, train_mask=0.2243707, val_total=0.3957621, val_nmse=0.2255712, val_mask=0.2127387, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.686718, val_avg_gamma=0.624998
epoch=7, lr=1.000000e-03, train_total=0.3921610, train_mask=0.2187147, val_total=0.3848756, val_nmse=0.2175693, val_mask=0.2091329, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.580925, val_avg_gamma=0.763357
epoch=8, lr=1.000000e-03, train_total=0.3869780, train_mask=0.2148802, val_total=0.3765248, val_nmse=0.2124829, val_mask=0.2050524, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.616969, val_avg_gamma=0.411647
epoch=9, lr=1.000000e-03, train_total=0.3811694, train_mask=0.2113152, val_total=0.3751844, val_nmse=0.2133766, val_mask=0.2022597, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.544155, val_avg_gamma=0.415533
epoch=10, lr=1.000000e-03, train_total=0.3765679, train_mask=0.2085777, val_total=0.3701948, val_nmse=0.2107114, val_mask=0.1993543, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.482434, val_avg_gamma=0.482152
epoch=11, lr=1.000000e-03, train_total=0.3726750, train_mask=0.2062080, val_total=0.3659518, val_nmse=0.2078711, val_mask=0.1976009, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.428621, val_avg_gamma=0.447298
epoch=12, lr=1.000000e-03, train_total=0.3696528, train_mask=0.2050278, val_total=0.3667013, val_nmse=0.2096843, val_mask=0.1962712, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.414171, val_avg_gamma=0.254295
epoch=13, lr=1.000000e-03, train_total=0.3675455, train_mask=0.2033543, val_total=0.3679243, val_nmse=0.2125546, val_mask=0.1942122, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.373062, val_avg_gamma=0.298818
