epoch=1, lr=1.000000e-03, train_total=0.7565348, train_mask=0.5256552, val_total=0.6014843, val_nmse=0.4543497, val_mask=0.4904489, val_clean=nan, gate=0.000000, lambda_mask=0.300000
epoch=2, lr=1.000000e-03, train_total=0.5218651, train_mask=0.4561979, val_total=0.5367413, val_nmse=0.4002073, val_mask=0.4551132, val_clean=nan, gate=0.003000, lambda_mask=0.300000
epoch=3, lr=1.000000e-03, train_total=0.4852426, train_mask=0.4348472, val_total=0.5118280, val_nmse=0.3787545, val_mask=0.4435784, val_clean=nan, gate=0.006000, lambda_mask=0.300000
epoch=4, lr=1.000000e-03, train_total=0.4685732, train_mask=0.4251455, val_total=0.4788742, val_nmse=0.3479785, val_mask=0.4363190, val_clean=nan, gate=0.009000, lambda_mask=0.300000
epoch=5, lr=1.000000e-03, train_total=0.4596239, train_mask=0.4200304, val_total=0.4842242, val_nmse=0.3549504, val_mask=0.4309125, val_clean=nan, gate=0.012000, lambda_mask=0.300000
epoch=6, lr=1.000000e-03, train_total=0.4518590, train_mask=0.4163167, val_total=0.4684668, val_nmse=0.3401843, val_mask=0.4276084, val_clean=nan, gate=0.015000, lambda_mask=0.300000
epoch=7, lr=1.000000e-03, train_total=0.4446467, train_mask=0.4133885, val_total=0.4736387, val_nmse=0.3456711, val_mask=0.4265587, val_clean=nan, gate=0.018000, lambda_mask=0.300000
epoch=8, lr=1.000000e-03, train_total=0.4417446, train_mask=0.4112754, val_total=0.4581398, val_nmse=0.3306284, val_mask=0.4250379, val_clean=nan, gate=0.021000, lambda_mask=0.300000
epoch=9, lr=1.000000e-03, train_total=0.4349426, train_mask=0.4107253, val_total=0.4591270, val_nmse=0.3321268, val_mask=0.4233338, val_clean=nan, gate=0.024000, lambda_mask=0.300000
epoch=10, lr=1.000000e-03, train_total=0.4338855, train_mask=0.4098028, val_total=0.4652463, val_nmse=0.3381941, val_mask=0.4235073, val_clean=nan, gate=0.027000, lambda_mask=0.300000
epoch=11, lr=1.000000e-03, train_total=0.4308736, train_mask=0.4093710, val_total=0.4636446, val_nmse=0.3370753, val_mask=0.4218976, val_clean=nan, gate=0.030000, lambda_mask=0.300000
epoch=12, lr=1.000000e-03, train_total=0.4275376, train_mask=0.4086994, val_total=0.4541444, val_nmse=0.3278518, val_mask=0.4209752, val_clean=nan, gate=0.033000, lambda_mask=0.300000
epoch=13, lr=1.000000e-03, train_total=0.4260443, train_mask=0.4082971, val_total=0.4479231, val_nmse=0.3214084, val_mask=0.4217157, val_clean=nan, gate=0.036000, lambda_mask=0.300000
epoch=14, lr=1.000000e-03, train_total=0.4212414, train_mask=0.4078464, val_total=0.4449945, val_nmse=0.3190500, val_mask=0.4198149, val_clean=nan, gate=0.039000, lambda_mask=0.300000
epoch=15, lr=1.000000e-03, train_total=0.4201799, train_mask=0.4076746, val_total=0.4556704, val_nmse=0.3296709, val_mask=0.4199982, val_clean=nan, gate=0.042000, lambda_mask=0.300000
epoch=16, lr=1.000000e-03, train_total=0.4200297, train_mask=0.4075548, val_total=0.4423911, val_nmse=0.3164061, val_mask=0.4199501, val_clean=nan, gate=0.045000, lambda_mask=0.300000
epoch=17, lr=1.000000e-03, train_total=0.4168981, train_mask=0.4079722, val_total=0.4479524, val_nmse=0.3218376, val_mask=0.4203825, val_clean=nan, gate=0.048000, lambda_mask=0.300000
epoch=18, lr=1.000000e-03, train_total=0.4147362, train_mask=0.4070276, val_total=0.4457127, val_nmse=0.3191193, val_mask=0.4219777, val_clean=nan, gate=0.051000, lambda_mask=0.300000
epoch=19, lr=1.000000e-03, train_total=0.4158132, train_mask=0.4075945, val_total=0.4412913, val_nmse=0.3153381, val_mask=0.4198440, val_clean=nan, gate=0.054000, lambda_mask=0.300000
epoch=20, lr=1.000000e-03, train_total=0.4136378, train_mask=0.4070135, val_total=0.4430230, val_nmse=0.3169748, val_mask=0.4201607, val_clean=nan, gate=0.057000, lambda_mask=0.300000
epoch=21, lr=1.000000e-03, train_total=0.4098284, train_mask=0.4064162, val_total=0.4434233, val_nmse=0.3167389, val_mask=0.4222811, val_clean=nan, gate=0.060000, lambda_mask=0.300000
epoch=22, lr=1.000000e-03, train_total=0.4096895, train_mask=0.4065462, val_total=0.4380062, val_nmse=0.3120862, val_mask=0.4197335, val_clean=nan, gate=0.063000, lambda_mask=0.300000
epoch=23, lr=1.000000e-03, train_total=0.4068640, train_mask=0.4069461, val_total=0.4359233, val_nmse=0.3102024, val_mask=0.4190695, val_clean=nan, gate=0.066000, lambda_mask=0.300000
epoch=24, lr=1.000000e-03, train_total=0.4063307, train_mask=0.4068993, val_total=0.4442323, val_nmse=0.3185316, val_mask=0.4190020, val_clean=nan, gate=0.069000, lambda_mask=0.300000
epoch=25, lr=1.000000e-03, train_total=0.4059757, train_mask=0.4064182, val_total=0.4372638, val_nmse=0.3114369, val_mask=0.4194231, val_clean=nan, gate=0.072000, lambda_mask=0.300000
epoch=26, lr=1.000000e-03, train_total=0.4050796, train_mask=0.4068121, val_total=0.4431450, val_nmse=0.3170393, val_mask=0.4203522, val_clean=nan, gate=0.075000, lambda_mask=0.300000
epoch=27, lr=1.000000e-03, train_total=0.4041029, train_mask=0.4069440, val_total=0.4369560, val_nmse=0.3112476, val_mask=0.4190281, val_clean=nan, gate=0.078000, lambda_mask=0.300000
epoch=28, lr=1.000000e-03, train_total=0.4003910, train_mask=0.4062740, val_total=0.4340040, val_nmse=0.3085804, val_mask=0.4180786, val_clean=nan, gate=0.081000, lambda_mask=0.300000
