epoch=1, lr=1.000000e-03, train_total=0.4740821, train_mask=0.0000000, val_total=0.2494364, val_nmse=0.2494364, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=2, lr=1.000000e-03, train_total=0.2257735, train_mask=0.0000000, val_total=0.2288239, val_nmse=0.2288239, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=3, lr=1.000000e-03, train_total=0.2084302, train_mask=0.0000000, val_total=0.2072249, val_nmse=0.2072249, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=4, lr=1.000000e-03, train_total=0.1989046, train_mask=0.0000000, val_total=0.1988863, val_nmse=0.1988863, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=5, lr=1.000000e-03, train_total=0.1933914, train_mask=0.0000000, val_total=0.1955116, val_nmse=0.1955116, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=6, lr=1.000000e-03, train_total=0.1889235, train_mask=0.0000000, val_total=0.1941789, val_nmse=0.1941789, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=7, lr=1.000000e-03, train_total=0.1849117, train_mask=0.0000000, val_total=0.1869750, val_nmse=0.1869750, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=8, lr=1.000000e-03, train_total=0.1819323, train_mask=0.0000000, val_total=0.1861378, val_nmse=0.1861378, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=9, lr=1.000000e-03, train_total=0.1790303, train_mask=0.0000000, val_total=0.1793209, val_nmse=0.1793209, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=10, lr=1.000000e-03, train_total=0.1764818, train_mask=0.0000000, val_total=0.1773013, val_nmse=0.1773013, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=11, lr=1.000000e-03, train_total=0.1753642, train_mask=0.0000000, val_total=0.1768523, val_nmse=0.1768523, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=12, lr=1.000000e-03, train_total=0.1735436, train_mask=0.0000000, val_total=0.1771615, val_nmse=0.1771615, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=13, lr=1.000000e-03, train_total=0.1729147, train_mask=0.0000000, val_total=0.1727137, val_nmse=0.1727137, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=14, lr=1.000000e-03, train_total=0.1709363, train_mask=0.0000000, val_total=0.1722834, val_nmse=0.1722834, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=15, lr=1.000000e-03, train_total=0.1700127, train_mask=0.0000000, val_total=0.1741949, val_nmse=0.1741949, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=16, lr=1.000000e-03, train_total=0.1698707, train_mask=0.0000000, val_total=0.1720775, val_nmse=0.1720775, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=17, lr=1.000000e-03, train_total=0.1681417, train_mask=0.0000000, val_total=0.1727406, val_nmse=0.1727406, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=18, lr=1.000000e-03, train_total=0.1676207, train_mask=0.0000000, val_total=0.1686226, val_nmse=0.1686226, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=19, lr=1.000000e-03, train_total=0.1669385, train_mask=0.0000000, val_total=0.1701985, val_nmse=0.1701985, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.000000
