epoch=1, lr=1.000000e-03, train_total=0.3212513, train_mask=0.1974703, val_total=0.2968523, val_nmse=0.1970266, val_mask=0.1996514, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.345923, val_avg_gamma=0.276010
epoch=2, lr=1.000000e-03, train_total=0.2975118, train_mask=0.2002504, val_total=0.3003299, val_nmse=0.1998797, val_mask=0.2009005, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.147895, val_avg_gamma=0.087374
epoch=3, lr=1.000000e-03, train_total=0.2953675, train_mask=0.2011744, val_total=0.2953196, val_nmse=0.1949797, val_mask=0.2006797, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.081105, val_avg_gamma=0.046477
epoch=4, lr=1.000000e-03, train_total=0.2946145, train_mask=0.2009809, val_total=0.2999713, val_nmse=0.1992353, val_mask=0.2014720, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.045260, val_avg_gamma=0.031821
epoch=5, lr=1.000000e-03, train_total=0.2936184, train_mask=0.2011881, val_total=0.2946090, val_nmse=0.1941435, val_mask=0.2009310, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.024815, val_avg_gamma=0.018868
epoch=6, lr=1.000000e-03, train_total=0.2937122, train_mask=0.2009558, val_total=0.2948232, val_nmse=0.1941803, val_mask=0.2012857, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.016919, val_avg_gamma=0.017991
epoch=7, lr=1.000000e-03, train_total=0.2942339, train_mask=0.2010046, val_total=0.3007314, val_nmse=0.1996197, val_mask=0.2022234, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.012264, val_avg_gamma=0.010961
epoch=8, lr=1.000000e-03, train_total=0.2934694, train_mask=0.2008494, val_total=0.2987324, val_nmse=0.1974599, val_mask=0.2025449, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.009840, val_avg_gamma=0.006865
epoch=9, lr=1.000000e-03, train_total=0.2937039, train_mask=0.2008932, val_total=0.3014495, val_nmse=0.2002411, val_mask=0.2024167, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.007291, val_avg_gamma=0.005560
epoch=10, lr=1.000000e-03, train_total=0.2930154, train_mask=0.2008883, val_total=0.2980508, val_nmse=0.1971128, val_mask=0.2018761, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.006465, val_avg_gamma=0.007574
epoch=11, lr=1.000000e-03, train_total=0.2934206, train_mask=0.2007916, val_total=0.2972606, val_nmse=0.1963677, val_mask=0.2017858, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005935, val_avg_gamma=0.005517
epoch=12, lr=1.000000e-03, train_total=0.2927685, train_mask=0.2007318, val_total=0.2954734, val_nmse=0.1940359, val_mask=0.2028749, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005565, val_avg_gamma=0.006284
epoch=13, lr=1.000000e-03, train_total=0.2921708, train_mask=0.2007496, val_total=0.2963672, val_nmse=0.1956550, val_mask=0.2014245, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005705, val_avg_gamma=0.006742
epoch=14, lr=1.000000e-03, train_total=0.2923022, train_mask=0.2006215, val_total=0.2981506, val_nmse=0.1970891, val_mask=0.2021230, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005382, val_avg_gamma=0.005279
epoch=15, lr=1.000000e-03, train_total=0.2922920, train_mask=0.2006323, val_total=0.2970342, val_nmse=0.1959006, val_mask=0.2022673, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005201, val_avg_gamma=0.004419
epoch=16, lr=1.000000e-03, train_total=0.2922727, train_mask=0.2005994, val_total=0.2944268, val_nmse=0.1936256, val_mask=0.2016024, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.004885, val_avg_gamma=0.005981
epoch=17, lr=1.000000e-03, train_total=0.2920312, train_mask=0.2007356, val_total=0.2980074, val_nmse=0.1972293, val_mask=0.2015562, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005754, val_avg_gamma=0.005179
epoch=18, lr=1.000000e-03, train_total=0.2921735, train_mask=0.2005514, val_total=0.2950159, val_nmse=0.1938554, val_mask=0.2023210, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005082, val_avg_gamma=0.004812
epoch=19, lr=1.000000e-03, train_total=0.2916438, train_mask=0.2006453, val_total=0.2939585, val_nmse=0.1930673, val_mask=0.2017823, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005130, val_avg_gamma=0.005198
epoch=20, lr=1.000000e-03, train_total=0.2915554, train_mask=0.2007487, val_total=0.2943690, val_nmse=0.1923025, val_mask=0.2041331, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005000, val_avg_gamma=0.005096
epoch=21, lr=1.000000e-03, train_total=0.2911075, train_mask=0.2007410, val_total=0.2958550, val_nmse=0.1950303, val_mask=0.2016494, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005071, val_avg_gamma=0.005364
epoch=22, lr=1.000000e-03, train_total=0.2907543, train_mask=0.2005618, val_total=0.2955983, val_nmse=0.1949152, val_mask=0.2013662, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005395, val_avg_gamma=0.004803
epoch=23, lr=1.000000e-03, train_total=0.2910096, train_mask=0.2006422, val_total=0.2981162, val_nmse=0.1974085, val_mask=0.2014153, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.004963, val_avg_gamma=0.005237
epoch=24, lr=1.000000e-03, train_total=0.2907250, train_mask=0.2005863, val_total=0.2938892, val_nmse=0.1937756, val_mask=0.2002273, val_clean=nan, gate=nan, lambda_mask=0.500000, train_avg_gamma=0.005149, val_avg_gamma=0.004795
