epoch=1, lr=1.000000e-03, train_total=0.5347055, train_mask=0.3930272, val_total=0.4182632, val_nmse=0.2033689, val_mask=0.2686179, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.393920, val_avg_gamma=0.209559
epoch=2, lr=1.000000e-03, train_total=0.4223041, train_mask=0.2812501, val_total=0.4046489, val_nmse=0.1970617, val_mask=0.2594840, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.134147, val_avg_gamma=0.037094
epoch=3, lr=1.000000e-03, train_total=0.4110549, train_mask=0.2707575, val_total=0.3984347, val_nmse=0.1999203, val_mask=0.2481431, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.016446, val_avg_gamma=0.011433
epoch=4, lr=1.000000e-03, train_total=0.4004745, train_mask=0.2581690, val_total=0.3948117, val_nmse=0.2032294, val_mask=0.2394779, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.010344, val_avg_gamma=0.010453
epoch=5, lr=1.000000e-03, train_total=0.3908665, train_mask=0.2483859, val_total=0.3927014, val_nmse=0.2036906, val_mask=0.2362636, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.009405, val_avg_gamma=0.008506
epoch=6, lr=1.000000e-03, train_total=0.3846964, train_mask=0.2419659, val_total=0.3823504, val_nmse=0.1989094, val_mask=0.2293013, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.008881, val_avg_gamma=0.006806
epoch=7, lr=1.000000e-03, train_total=0.3819807, train_mask=0.2372902, val_total=0.3802409, val_nmse=0.1981778, val_mask=0.2275789, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.007252, val_avg_gamma=0.007660
epoch=8, lr=1.000000e-03, train_total=0.3793072, train_mask=0.2354971, val_total=0.3759643, val_nmse=0.1969588, val_mask=0.2237568, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.006253, val_avg_gamma=0.004680
epoch=9, lr=1.000000e-03, train_total=0.3758910, train_mask=0.2319710, val_total=0.3763778, val_nmse=0.1949787, val_mask=0.2267488, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.006200, val_avg_gamma=0.004580
epoch=10, lr=1.000000e-03, train_total=0.3766072, train_mask=0.2334469, val_total=0.3694634, val_nmse=0.1920259, val_mask=0.2217968, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005195, val_avg_gamma=0.005353
epoch=11, lr=1.000000e-03, train_total=0.3751996, train_mask=0.2318811, val_total=0.3741146, val_nmse=0.1967552, val_mask=0.2216993, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005466, val_avg_gamma=0.004690
epoch=12, lr=1.000000e-03, train_total=0.3733789, train_mask=0.2292784, val_total=0.3674751, val_nmse=0.1916486, val_mask=0.2197832, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005164, val_avg_gamma=0.005178
epoch=13, lr=1.000000e-03, train_total=0.3720039, train_mask=0.2287641, val_total=0.3678735, val_nmse=0.1922184, val_mask=0.2195689, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.004595, val_avg_gamma=0.004451
epoch=14, lr=1.000000e-03, train_total=0.3716525, train_mask=0.2278124, val_total=0.3759497, val_nmse=0.2013775, val_mask=0.2182152, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005128, val_avg_gamma=0.004889
epoch=15, lr=1.000000e-03, train_total=0.3722258, train_mask=0.2275334, val_total=0.3780122, val_nmse=0.2029231, val_mask=0.2188614, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005116, val_avg_gamma=0.004496
epoch=16, lr=1.000000e-03, train_total=0.3703932, train_mask=0.2270780, val_total=0.3685152, val_nmse=0.1936693, val_mask=0.2185574, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.005229, val_avg_gamma=0.004734
