epoch=1, lr=1.000000e-03, train_total=0.7719762, train_mask=0.5052731, val_total=0.7164349, val_nmse=0.3464450, val_mask=0.4624873, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=2, lr=1.000000e-03, train_total=0.6648707, train_mask=0.4339660, val_total=0.7790689, val_nmse=0.4346626, val_mask=0.4305079, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=3, lr=1.000000e-03, train_total=0.6503628, train_mask=0.4044094, val_total=0.6521952, val_nmse=0.3305618, val_mask=0.4020418, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=4, lr=1.000000e-03, train_total=0.6052023, train_mask=0.3844300, val_total=0.6176713, val_nmse=0.3098591, val_mask=0.3847653, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=5, lr=1.000000e-03, train_total=0.5917973, train_mask=0.3744044, val_total=0.6201281, val_nmse=0.3140369, val_mask=0.3826139, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=6, lr=1.000000e-03, train_total=0.5814069, train_mask=0.3689697, val_total=0.6170145, val_nmse=0.3177189, val_mask=0.3741194, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=7, lr=1.000000e-03, train_total=0.5878490, train_mask=0.3668686, val_total=0.6108666, val_nmse=0.3121906, val_mask=0.3733450, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=8, lr=1.000000e-03, train_total=0.5788915, train_mask=0.3637384, val_total=0.6149780, val_nmse=0.3180071, val_mask=0.3712136, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=9, lr=1.000000e-03, train_total=0.5724166, train_mask=0.3625273, val_total=0.6021661, val_nmse=0.3051657, val_mask=0.3712506, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=10, lr=1.000000e-03, train_total=0.5863599, train_mask=0.3619199, val_total=0.6035150, val_nmse=0.3082406, val_mask=0.3690929, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=11, lr=1.000000e-03, train_total=0.5714313, train_mask=0.3605810, val_total=0.5985488, val_nmse=0.3031787, val_mask=0.3692126, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=12, lr=1.000000e-03, train_total=0.5687838, train_mask=0.3602940, val_total=0.6045462, val_nmse=0.3099699, val_mask=0.3682204, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=13, lr=1.000000e-03, train_total=0.5643413, train_mask=0.3588866, val_total=0.5914559, val_nmse=0.2974912, val_mask=0.3674559, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=14, lr=1.000000e-03, train_total=0.5678584, train_mask=0.3591234, val_total=0.5936411, val_nmse=0.3001049, val_mask=0.3669203, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=15, lr=1.000000e-03, train_total=0.5626503, train_mask=0.3583608, val_total=0.5970613, val_nmse=0.3031714, val_mask=0.3673622, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=16, lr=1.000000e-03, train_total=0.5617947, train_mask=0.3584858, val_total=0.6034038, val_nmse=0.3095926, val_mask=0.3672640, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=17, lr=1.000000e-03, train_total=0.5787065, train_mask=0.3579141, val_total=0.6112509, val_nmse=0.3186289, val_mask=0.3657775, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=18, lr=1.000000e-03, train_total=0.5602084, train_mask=0.3572813, val_total=0.5918129, val_nmse=0.2986917, val_mask=0.3664015, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=19, lr=1.000000e-03, train_total=0.5569296, train_mask=0.3569703, val_total=0.5942633, val_nmse=0.3016180, val_mask=0.3658066, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=20, lr=1.000000e-03, train_total=0.5611018, train_mask=0.3573360, val_total=0.5912490, val_nmse=0.2985809, val_mask=0.3658351, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=21, lr=1.000000e-03, train_total=0.5558551, train_mask=0.3567486, val_total=0.5924238, val_nmse=0.3003010, val_mask=0.3651535, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=22, lr=1.000000e-03, train_total=0.5602001, train_mask=0.3562662, val_total=0.5922466, val_nmse=0.2990883, val_mask=0.3664479, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=23, lr=1.000000e-03, train_total=0.5658070, train_mask=0.3560052, val_total=0.5880560, val_nmse=0.2956484, val_mask=0.3655094, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=24, lr=1.000000e-03, train_total=0.5530541, train_mask=0.3562314, val_total=0.5853664, val_nmse=0.2939970, val_mask=0.3642118, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=25, lr=1.000000e-03, train_total=0.5601409, train_mask=0.3561464, val_total=0.6031658, val_nmse=0.3088978, val_mask=0.3678349, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=26, lr=1.000000e-03, train_total=0.5540980, train_mask=0.3558389, val_total=0.5774392, val_nmse=0.2853956, val_mask=0.3650545, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=27, lr=1.000000e-03, train_total=0.5536687, train_mask=0.3561562, val_total=0.5881273, val_nmse=0.2972332, val_mask=0.3636176, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=28, lr=1.000000e-03, train_total=0.5573290, train_mask=0.3560841, val_total=0.5978380, val_nmse=0.3069503, val_mask=0.3636096, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=29, lr=1.000000e-03, train_total=0.5587664, train_mask=0.3554450, val_total=0.5946715, val_nmse=0.3036805, val_mask=0.3637387, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=30, lr=1.000000e-03, train_total=0.5509772, train_mask=0.3554761, val_total=0.5835019, val_nmse=0.2927511, val_mask=0.3634386, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=31, lr=1.000000e-03, train_total=0.5497516, train_mask=0.3552476, val_total=0.5869189, val_nmse=0.2949320, val_mask=0.3649836, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=32, lr=1.000000e-03, train_total=0.5496677, train_mask=0.3559578, val_total=0.5865350, val_nmse=0.2954306, val_mask=0.3638804, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=33, lr=1.000000e-03, train_total=0.5526084, train_mask=0.3559254, val_total=0.5900507, val_nmse=0.2969061, val_mask=0.3664306, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=34, lr=1.000000e-03, train_total=0.5570400, train_mask=0.3553395, val_total=0.5918611, val_nmse=0.3019241, val_mask=0.3624213, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=35, lr=1.000000e-03, train_total=0.5509382, train_mask=0.3552583, val_total=0.5931868, val_nmse=0.2981229, val_mask=0.3688298, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=36, lr=1.000000e-03, train_total=0.5477814, train_mask=0.3554395, val_total=0.5804929, val_nmse=0.2883538, val_mask=0.3651738, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=37, lr=1.000000e-03, train_total=0.5484062, train_mask=0.3551143, val_total=0.5891401, val_nmse=0.2970752, val_mask=0.3650811, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=38, lr=1.000000e-03, train_total=0.5550039, train_mask=0.3553922, val_total=0.5868201, val_nmse=0.2948857, val_mask=0.3649179, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=39, lr=1.000000e-03, train_total=0.5487863, train_mask=0.3553544, val_total=0.6003417, val_nmse=0.3068365, val_mask=0.3668815, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=40, lr=1.000000e-03, train_total=0.5509999, train_mask=0.3550784, val_total=0.5827908, val_nmse=0.2923164, val_mask=0.3630929, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=41, lr=1.000000e-03, train_total=0.5475927, train_mask=0.3557066, val_total=0.5857294, val_nmse=0.2939778, val_mask=0.3646895, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=42, lr=1.000000e-03, train_total=0.5517886, train_mask=0.3547224, val_total=0.5852462, val_nmse=0.2946727, val_mask=0.3632169, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=43, lr=1.000000e-03, train_total=0.5531127, train_mask=0.3550884, val_total=0.5948861, val_nmse=0.3030652, val_mask=0.3647762, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=44, lr=1.000000e-03, train_total=0.5497169, train_mask=0.3550232, val_total=0.5938696, val_nmse=0.3015438, val_mask=0.3654073, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=45, lr=1.000000e-03, train_total=0.5473674, train_mask=0.3551060, val_total=0.5880614, val_nmse=0.2968999, val_mask=0.3639519, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=46, lr=1.000000e-03, train_total=0.5439989, train_mask=0.3549580, val_total=0.5761446, val_nmse=0.2849743, val_mask=0.3639629, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=47, lr=1.000000e-03, train_total=0.5477015, train_mask=0.3552498, val_total=0.5774880, val_nmse=0.2879516, val_mask=0.3619205, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=48, lr=1.000000e-03, train_total=0.5474012, train_mask=0.3550668, val_total=0.5815199, val_nmse=0.2889280, val_mask=0.3657399, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=49, lr=1.000000e-03, train_total=0.5474068, train_mask=0.3550860, val_total=0.5785623, val_nmse=0.2875874, val_mask=0.3637186, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=50, lr=1.000000e-03, train_total=0.5539837, train_mask=0.3554217, val_total=0.5822935, val_nmse=0.2919276, val_mask=0.3629574, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=51, lr=1.000000e-03, train_total=0.5471769, train_mask=0.3546679, val_total=0.5808879, val_nmse=0.2885031, val_mask=0.3654810, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=52, lr=1.000000e-03, train_total=0.5445434, train_mask=0.3548779, val_total=0.6025242, val_nmse=0.3117163, val_mask=0.3635099, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=53, lr=1.000000e-03, train_total=0.5424031, train_mask=0.3548826, val_total=0.5825468, val_nmse=0.2916733, val_mask=0.3635918, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=54, lr=1.000000e-03, train_total=0.5475582, train_mask=0.3543251, val_total=0.5805090, val_nmse=0.2916365, val_mask=0.3610907, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=55, lr=1.000000e-03, train_total=0.5416439, train_mask=0.3547258, val_total=0.5814170, val_nmse=0.2896022, val_mask=0.3647686, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=56, lr=1.000000e-03, train_total=0.5440586, train_mask=0.3542244, val_total=0.5797875, val_nmse=0.2889813, val_mask=0.3635077, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=57, lr=1.000000e-03, train_total=0.5419352, train_mask=0.3543958, val_total=0.5809147, val_nmse=0.2882403, val_mask=0.3658430, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=58, lr=1.000000e-03, train_total=0.5434783, train_mask=0.3548113, val_total=0.5847550, val_nmse=0.2953186, val_mask=0.3617956, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=59, lr=1.000000e-03, train_total=0.5495329, train_mask=0.3549428, val_total=0.5851162, val_nmse=0.2951908, val_mask=0.3624067, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=60, lr=1.000000e-03, train_total=0.5455150, train_mask=0.3548934, val_total=0.5773796, val_nmse=0.2862981, val_mask=0.3638519, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=61, lr=1.000000e-03, train_total=0.5417477, train_mask=0.3546996, val_total=0.5729890, val_nmse=0.2824357, val_mask=0.3631916, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=62, lr=1.000000e-03, train_total=0.5433509, train_mask=0.3550198, val_total=0.5829529, val_nmse=0.2908009, val_mask=0.3651901, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=63, lr=1.000000e-03, train_total=0.5526716, train_mask=0.3543435, val_total=0.5917727, val_nmse=0.3016361, val_mask=0.3626707, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=64, lr=1.000000e-03, train_total=0.5489905, train_mask=0.3549113, val_total=0.5943930, val_nmse=0.3035218, val_mask=0.3635889, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=65, lr=1.000000e-03, train_total=0.5468141, train_mask=0.3546241, val_total=0.5813160, val_nmse=0.2872738, val_mask=0.3675528, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=66, lr=1.000000e-03, train_total=0.5456222, train_mask=0.3549125, val_total=0.5909299, val_nmse=0.3002993, val_mask=0.3632883, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=67, lr=1.000000e-03, train_total=0.5439961, train_mask=0.3547677, val_total=0.5773619, val_nmse=0.2849094, val_mask=0.3655656, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=68, lr=1.000000e-03, train_total=0.5423300, train_mask=0.3552564, val_total=0.5835030, val_nmse=0.2921852, val_mask=0.3641473, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=69, lr=1.000000e-03, train_total=0.5435763, train_mask=0.3543247, val_total=0.5812978, val_nmse=0.2918594, val_mask=0.3617980, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=70, lr=1.000000e-03, train_total=0.5433972, train_mask=0.3543203, val_total=0.5747875, val_nmse=0.2844813, val_mask=0.3628828, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=71, lr=1.000000e-03, train_total=0.5414181, train_mask=0.3545465, val_total=0.5857460, val_nmse=0.2941575, val_mask=0.3644855, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=72, lr=1.000000e-03, train_total=0.5463077, train_mask=0.3542935, val_total=0.5985067, val_nmse=0.3070209, val_mask=0.3643573, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=73, lr=1.000000e-03, train_total=0.5432134, train_mask=0.3547456, val_total=0.5783605, val_nmse=0.2880969, val_mask=0.3628295, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=74, lr=1.000000e-03, train_total=0.5409201, train_mask=0.3542094, val_total=0.5715940, val_nmse=0.2821985, val_mask=0.3617444, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=75, lr=1.000000e-03, train_total=0.5411546, train_mask=0.3546361, val_total=0.5779749, val_nmse=0.2880675, val_mask=0.3623843, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=76, lr=1.000000e-03, train_total=0.5432001, train_mask=0.3551774, val_total=0.5731388, val_nmse=0.2826090, val_mask=0.3631622, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=77, lr=1.000000e-03, train_total=0.5413676, train_mask=0.3544410, val_total=0.5786716, val_nmse=0.2874947, val_mask=0.3639712, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=78, lr=1.000000e-03, train_total=0.5482678, train_mask=0.3546080, val_total=0.5811450, val_nmse=0.2893537, val_mask=0.3647391, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=79, lr=1.000000e-03, train_total=0.5439054, train_mask=0.3539232, val_total=0.5853131, val_nmse=0.2923988, val_mask=0.3661429, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=80, lr=1.000000e-03, train_total=0.5423248, train_mask=0.3548410, val_total=0.5809047, val_nmse=0.2912526, val_mask=0.3620651, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=81, lr=1.000000e-03, train_total=0.5420225, train_mask=0.3542972, val_total=0.5812698, val_nmse=0.2878693, val_mask=0.3667505, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=82, lr=1.000000e-03, train_total=0.5400667, train_mask=0.3544362, val_total=0.5826043, val_nmse=0.2906730, val_mask=0.3649141, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=83, lr=1.000000e-03, train_total=0.5412387, train_mask=0.3545908, val_total=0.5812929, val_nmse=0.2912180, val_mask=0.3625936, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=84, lr=1.000000e-03, train_total=0.5421177, train_mask=0.3538796, val_total=0.5775197, val_nmse=0.2857952, val_mask=0.3646555, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=85, lr=1.000000e-03, train_total=0.5385088, train_mask=0.3539792, val_total=0.5761577, val_nmse=0.2845322, val_mask=0.3645318, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=86, lr=1.000000e-03, train_total=0.5406471, train_mask=0.3539861, val_total=0.5780764, val_nmse=0.2879842, val_mask=0.3626152, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=87, lr=1.000000e-03, train_total=0.5377550, train_mask=0.3538908, val_total=0.5819981, val_nmse=0.2914767, val_mask=0.3631517, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=88, lr=1.000000e-03, train_total=0.5414348, train_mask=0.3544376, val_total=0.5776736, val_nmse=0.2868021, val_mask=0.3635894, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=89, lr=1.000000e-03, train_total=0.5491109, train_mask=0.3538133, val_total=0.5844184, val_nmse=0.2934918, val_mask=0.3636582, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=90, lr=1.000000e-03, train_total=0.5447660, train_mask=0.3537901, val_total=0.5979068, val_nmse=0.3079312, val_mask=0.3624695, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=91, lr=1.000000e-03, train_total=0.5420585, train_mask=0.3539651, val_total=0.5751232, val_nmse=0.2840561, val_mask=0.3638338, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=92, lr=1.000000e-03, train_total=0.5371445, train_mask=0.3540072, val_total=0.5810246, val_nmse=0.2901324, val_mask=0.3636153, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=93, lr=1.000000e-03, train_total=0.5406100, train_mask=0.3544376, val_total=0.5783778, val_nmse=0.2870496, val_mask=0.3641602, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=94, lr=1.000000e-03, train_total=0.5395324, train_mask=0.3541182, val_total=0.5691858, val_nmse=0.2780488, val_mask=0.3639212, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=95, lr=1.000000e-03, train_total=0.5398613, train_mask=0.3541718, val_total=0.5811065, val_nmse=0.2895245, val_mask=0.3644775, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
epoch=96, lr=1.000000e-03, train_total=0.5435027, train_mask=0.3541203, val_total=0.6023935, val_nmse=0.3100924, val_mask=0.3653764, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=0.000000, val_avg_gamma=0.000000
