epoch=1, lr=1.000000e-03, train_total=0.8352464, train_mask=0.5637793, val_total=0.7450852, val_nmse=0.3250405, val_mask=0.5250559, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.420969, val_avg_gamma=0.471611
epoch=2, lr=1.000000e-03, train_total=0.7340730, train_mask=0.5228209, val_total=0.7192528, val_nmse=0.3077825, val_mask=0.5143379, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.618576, val_avg_gamma=0.557242
epoch=3, lr=1.000000e-03, train_total=0.7145926, train_mask=0.5090592, val_total=0.7153980, val_nmse=0.3113524, val_mask=0.5050569, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.496937, val_avg_gamma=0.534738
epoch=4, lr=1.000000e-03, train_total=0.6864573, train_mask=0.4914461, val_total=0.6824005, val_nmse=0.2930267, val_mask=0.4867173, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.327016, val_avg_gamma=0.326048
epoch=5, lr=1.000000e-03, train_total=0.6714925, train_mask=0.4716381, val_total=0.6786116, val_nmse=0.3043548, val_mask=0.4678209, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.273815, val_avg_gamma=0.316196
epoch=6, lr=1.000000e-03, train_total=0.6522745, train_mask=0.4526837, val_total=0.6647617, val_nmse=0.3026200, val_mask=0.4526771, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.296151, val_avg_gamma=0.323308
epoch=7, lr=1.000000e-03, train_total=0.6419809, train_mask=0.4389802, val_total=0.6418133, val_nmse=0.2897722, val_mask=0.4400514, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.299924, val_avg_gamma=0.408008
epoch=8, lr=1.000000e-03, train_total=0.6311842, train_mask=0.4267079, val_total=0.6418966, val_nmse=0.2993568, val_mask=0.4281747, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.232557, val_avg_gamma=0.208968
epoch=9, lr=1.000000e-03, train_total=0.6200674, train_mask=0.4167316, val_total=0.6273046, val_nmse=0.2906552, val_mask=0.4208117, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.245948, val_avg_gamma=0.144594
epoch=10, lr=1.000000e-03, train_total=0.6074584, train_mask=0.4065936, val_total=0.6492017, val_nmse=0.3154442, val_mask=0.4171969, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.215173, val_avg_gamma=0.130880
epoch=11, lr=1.000000e-03, train_total=0.6044767, train_mask=0.4000368, val_total=0.6156001, val_nmse=0.2923613, val_mask=0.4040486, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.226447, val_avg_gamma=0.235068
epoch=12, lr=1.000000e-03, train_total=0.5997509, train_mask=0.3912508, val_total=0.6156655, val_nmse=0.2957362, val_mask=0.3999116, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.281560, val_avg_gamma=0.235734
epoch=13, lr=1.000000e-03, train_total=0.5923852, train_mask=0.3864692, val_total=0.6001860, val_nmse=0.2851431, val_mask=0.3938036, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.259080, val_avg_gamma=0.269290
epoch=14, lr=1.000000e-03, train_total=0.5813548, train_mask=0.3806502, val_total=0.5982026, val_nmse=0.2863295, val_mask=0.3898413, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.236698, val_avg_gamma=0.284315
epoch=15, lr=1.000000e-03, train_total=0.5850079, train_mask=0.3783935, val_total=0.6070085, val_nmse=0.2946098, val_mask=0.3904984, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.248286, val_avg_gamma=0.222483
epoch=16, lr=1.000000e-03, train_total=0.5771819, train_mask=0.3751317, val_total=0.5957629, val_nmse=0.2885556, val_mask=0.3840091, val_clean=nan, gate=nan, lambda_mask=0.800000, train_avg_gamma=0.270640, val_avg_gamma=0.333486
