epoch=1, lr=1.000000e-03, train_total=0.3854929, train_mask=0.0000000, val_total=0.2281392, val_nmse=0.2281392, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=4, lr=1.000000e-03, train_total=0.1932932, train_mask=0.0000000, val_total=0.2018124, val_nmse=0.2018124, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=5, lr=1.000000e-03, train_total=0.1882964, train_mask=0.0000000, val_total=0.1916674, val_nmse=0.1916674, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=6, lr=1.000000e-03, train_total=0.1840726, train_mask=0.0000000, val_total=0.1917561, val_nmse=0.1917561, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=7, lr=1.000000e-03, train_total=0.1827584, train_mask=0.0000000, val_total=0.1817516, val_nmse=0.1817516, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=8, lr=1.000000e-03, train_total=0.1798146, train_mask=0.0000000, val_total=0.1858968, val_nmse=0.1858968, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=9, lr=1.000000e-03, train_total=0.1783109, train_mask=0.0000000, val_total=0.1778128, val_nmse=0.1778128, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=10, lr=1.000000e-03, train_total=0.1763251, train_mask=0.0000000, val_total=0.1799999, val_nmse=0.1799999, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=11, lr=1.000000e-03, train_total=0.1753853, train_mask=0.0000000, val_total=0.1747799, val_nmse=0.1747799, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=12, lr=1.000000e-03, train_total=0.1733266, train_mask=0.0000000, val_total=0.1802378, val_nmse=0.1802378, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=13, lr=1.000000e-03, train_total=0.1729233, train_mask=0.0000000, val_total=0.1750279, val_nmse=0.1750279, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
epoch=14, lr=1.000000e-03, train_total=0.1710667, train_mask=0.0000000, val_total=0.1738078, val_nmse=0.1738078, val_mask=nan, val_clean=nan, gate=0.000000, lambda_mask=0.800000, train_avg_gamma=nan, val_avg_gamma=nan
