epoch=1, lr=1.000000e-03, train_total=0.3623071, train_mask=0.3674518, val_total=0.3252376, val_nmse=0.1729674, val_mask=0.3045403, val_clean=0.1287719, gate=0.000000, lambda_mask=0.500000
epoch=2, lr=1.000000e-03, train_total=0.2907789, train_mask=0.2704879, val_total=0.3095189, val_nmse=0.1610388, val_mask=0.2969602, val_clean=0.1209557, gate=0.003438, lambda_mask=0.500000
epoch=3, lr=1.000000e-03, train_total=0.2826798, train_mask=0.2618974, val_total=0.3035944, val_nmse=0.1596069, val_mask=0.2879750, val_clean=0.1202499, gate=0.006875, lambda_mask=0.500000
epoch=4, lr=1.000000e-03, train_total=0.2764502, train_mask=0.2533613, val_total=0.2944605, val_nmse=0.1570769, val_mask=0.2747672, val_clean=0.1196121, gate=0.010313, lambda_mask=0.500000
epoch=5, lr=1.000000e-03, train_total=0.2707556, train_mask=0.2452382, val_total=0.2891724, val_nmse=0.1553149, val_mask=0.2677150, val_clean=0.1195309, gate=0.013750, lambda_mask=0.500000
epoch=6, lr=1.000000e-03, train_total=0.2663265, train_mask=0.2385697, val_total=0.2874772, val_nmse=0.1572650, val_mask=0.2604245, val_clean=0.1209122, gate=0.017188, lambda_mask=0.500000
epoch=7, lr=1.000000e-03, train_total=0.2629665, train_mask=0.2340009, val_total=0.2895608, val_nmse=0.1623571, val_mask=0.2544073, val_clean=0.1234819, gate=0.020625, lambda_mask=0.500000
epoch=8, lr=1.000000e-03, train_total=0.2623020, train_mask=0.2309881, val_total=0.2808405, val_nmse=0.1543403, val_mask=0.2530005, val_clean=0.1201437, gate=0.024063, lambda_mask=0.500000
epoch=9, lr=1.000000e-03, train_total=0.2597942, train_mask=0.2292400, val_total=0.2852598, val_nmse=0.1597458, val_mask=0.2510280, val_clean=0.1241248, gate=0.027500, lambda_mask=0.500000
epoch=10, lr=1.000000e-03, train_total=0.2592715, train_mask=0.2275690, val_total=0.2763990, val_nmse=0.1521541, val_mask=0.2484900, val_clean=0.1173856, gate=0.030938, lambda_mask=0.500000
epoch=11, lr=1.000000e-03, train_total=0.2582919, train_mask=0.2261482, val_total=0.2769968, val_nmse=0.1532632, val_mask=0.2474672, val_clean=0.1187934, gate=0.034375, lambda_mask=0.500000
epoch=12, lr=1.000000e-03, train_total=0.2565006, train_mask=0.2253557, val_total=0.2741023, val_nmse=0.1512484, val_mask=0.2457077, val_clean=0.1173615, gate=0.037813, lambda_mask=0.500000
